,ABBV
% Below High,0.0926
% Held by Institutions,0.6811
52-Wk Range,['115.10 - 175.91']
Annual Dividend $,5.92
Annual Dividend %,0.0371
Ask,169.49
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.7
Bid,152.04
Bid Size,100.0
Closing Price,159.62
Day Change $,0.23
Day Change %,0.0014000000000000002
Day High,160.75
Day Low,159.24
Dividend Pay Date,2023-02-15 00:00:00
"EPS (TTM, GAAP)",7.51
Ex-dividend,2023-01-12 00:00:00
Ex-dividend Date,01/12/23
Historical Volatility,0.226
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,282.3B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",21.26
Prev Close,159.39
Short Interest,0.0073
Today's Open,159.59
Volume,1661909.0
Volume 10-day Avg,5475146.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-03 00:00:00
Growth Analysts,22.0
Growth 1yr Low Est,0.33011583011583023
Growth 1yr High Est,0.315391879131256
Growth 1yr Consensus Est,0.3227538546235431
Growth 2yr Low Est,0.04241640562395288
Growth 2yr High Est,0.1228789977135103
Growth 2yr Consensus Est,0.08264770166873159
Growth 5yr Low Est,0.062219438767032564
Growth 5yr High Est,0.10758043845407061
Growth 5yr Consensus Est,0.08489993861055159
Growth 5yr Actual/Est,0.07666216577554988
Growth 3yr Historic,0.07536830130160665
Price/Earnings (TTM),21.26398
Price/Sales (TTM),4.88222
Price/Book (MRQ),17.64863
Price/Cash Flow (TTM),13.00432
5yr Low,62.55
5yr High,175.91
5yr Avg Return,0.09761666666666664
EPS Growth 5yr,0.12187010000000001
Revenue Growth 5yr,0.16994589999999998
Dividend Growth 5yr,0.1792712
Short Int Current Month,12907317.0
Short Int Prev Month,13798523.0
Short Int Pct of Float,0.0073077
Days to Cover,2.4037
Float,1766.515
Shares Outstanding,1768.48
Institutions Holding Shares,3626.0
FCF Growth 5yr,0.33768683854793097
"Price/Earnings (TTM, GAAP)",21.26
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.7116
Operating Profit Margin (TTM),0.3059
Net Profit Margin (TTM),0.2321
Annual Dividend Yield,0.0371
Dividend Change %,0.1017
"Dividend Growth Rate, 3 Years",0.1315
EPS Growth (MRQ),3.3056
EPS Growth (TTM),0.7868
Revenue Growth (MRQ),0.015700000000000002
Revenue Growth (TTM),0.048
Return On Equity (TTM),0.9032
Return On Assets (TTM),0.0925
Return On Investment (TTM),0.1173
Revenue Per Employee (TTM),1156380.0
Total Debt/Total Capital (MRQ),0.8128000000000001
Change in Debt/Total Capital Quarter over Quarter,-0.0009
Quick Ratio (MRQ),0.83
Interest Coverage (MRQ),10.47
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-10-31 00:00:00
cfra since,2022-10-31 00:00:00
ford since,2022-11-11 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2020-06-15 00:00:00
