,ABM
% Above Low,0.212
% Held by Institutions,0.9423
52-Wk Range,['37.68 - 54.00']
Annual Dividend $,0.78
Annual Dividend %,0.0171
Ask,46.38
Ask Size,700.0
B/A Ratio,0.2857142857142857
B/A Size,200x700
Beta,1.1
Bid,37.3
Bid Size,200.0
Closing Price,45.67
Day Change $,0.37
Day Change %,0.008199999999999999
Day High,46.19
Day Low,45.27
Dividend Pay Date,2022-11-07 00:00:00
"EPS (TTM, GAAP)",3.18
Ex-dividend,2022-10-05 00:00:00
Ex-dividend Date,10/05/22
Historical Volatility,0.37700000000000006
Last (size),32.0
Last (time),5:00p ET 11/25/22
Market Cap,3.0B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",14.36
Prev Close,45.3
Shares Outstanding,66.2M
Short Interest,0.0276
Today's Open,45.27
Volume,86560.0
Volume 10-day Avg,252929.0
Volume Past Day,(Light)
