,2017,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,6.5,12.6,4.75,9.02,6.5,4.01,,,,,
low,4.3,3.2,0.8214,0.88,2.43,1.85,,,,,
change,-0.1721,-0.23399999999999999,-0.25670000000000004,0.277,0.1051,-0.3136,,,,,
Date,,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash & Equivalents,,,,,,,109282.0,81330.0,47320.0,24004.0,Balance Sheet
Short Term Investments,,,,,,,46035.0,84147.0,102879.0,110714.0,Balance Sheet
Cash and Short Term Invs,,,,,,,155317.0,165477.0,150199.0,134718.0,Balance Sheet
"Total Receivables, Net",,,,,,,899.0,1313.0,1970.0,1835.0,Balance Sheet
Prepaid Expenses,,,,,,,4445.0,5908.0,5622.0,4583.0,Balance Sheet
Total Current Assets,,,,,,,160661.0,172698.0,157791.0,141136.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,,,,15357.0,15432.0,15625.0,15716.0,Balance Sheet
Accumulated Depreciation,,,,,,,-9374.0,-9768.0,-10132.0,-10475.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,,,8075.0,7671.0,7415.0,7062.0,Balance Sheet
Long Term Investments,,,,,,,35688.0,56318.0,50450.0,55436.0,Balance Sheet
Other Long Term Assets,,,,,,,61.0,190.0,180.0,167.0,Balance Sheet
Total Assets,,,,,,,204485.0,236877.0,215836.0,203801.0,Balance Sheet
Accounts Payable,,,,,,,3174.0,1194.0,0.0,872.0,Balance Sheet
Accrued Expenses,,,,,,,8021.0,7960.0,12851.0,11756.0,Balance Sheet
Notes Payable/ST Debt,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
"Other Curr. Lblts, Total",,,,,,,26.0,23255.0,16973.0,14878.0,Balance Sheet
Total Current Liabilities,,,,,,,11221.0,32409.0,29824.0,27506.0,Balance Sheet
Total Long Term Debt,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Total Debt,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
"Other Liabilities, Total",,,,,,,23825.0,38623.0,32870.0,30778.0,Balance Sheet
Total Liabilities,,,,,,,35046.0,71032.0,62694.0,58284.0,Balance Sheet
Redeemable Preferred Stock,,,,,,,0.0,,,,Balance Sheet
Common Stock,,,,,,,1286636.0,1298212.0,1298409.0,1307654.0,Balance Sheet
Additional Paid-In Capital,,,,,,,65485.0,67151.0,69134.0,70738.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,,,,-1134347.0,-1150112.0,-1164304.0,-1181871.0,Balance Sheet
"Other Equity, Total",,,,,,,-48335.0,-49406.0,-50097.0,-51004.0,Balance Sheet
Total Equity,,,,,,,169439.0,165845.0,153142.0,145517.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,,,,204485.0,236877.0,215836.0,203801.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,,,,144988.0,148728.0,148794.0,152712.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Trsry Shrs-Pref. Iss. 1,,,,,,,0.0,,,,Balance Sheet
Date,,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,,,,,3206.0,12581.0,14241.0,5952.0,Income Statement
Selling/Gen/Admin Expense,,,,,,,3897.0,3913.0,3831.0,2515.0,Income Statement
Labor & Related Expense,,,,,,,801.0,979.0,1369.0,978.0,Income Statement
