,ABUS
% Above Low,0.44320000000000004
% Held by Institutions,0.2923
52-Wk Range,['1.85 - 6.50']
Annual Dividend $,
Annual Dividend %,
Ask,2.82
Ask Size,2000.0
B/A Ratio,3.85
B/A Size,7700x2000
Beta,2.2
Bid,2.64
Bid Size,7700.0
Closing Price,2.67
Day Change $,-0.03
Day Change %,-0.0111
Day High,2.71
Day Low,2.66
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.48
Ex-dividend Date,No dividend
Historical Volatility,0.745
Last (size),500.0
Last (time),1:00p ET 11/25/22
Market Cap,417.8M
"P/E Ratio (TTM, GAAP)",
Prev Close,2.7
Shares Outstanding,156.5M
Short Interest,0.0325
Today's Open,2.71
Volume,151547.0
Volume 10-day Avg,1059581.0
Volume Past Day,(Light)
