,ACI
Price/Earnings (TTM),7.31653
Price/Sales (TTM),0.1468
Price/Book (MRQ),2.51255
Price/Cash Flow (TTM),3.41669
5yr Low,12.91
5yr High,37.99
5yr Avg Return,0.17806666666666668
EPS Growth 5yr,
Revenue Growth 5yr,0.037927300000000004
Dividend Growth 5yr,
Short Int Current Month,6733781.0
Short Int Prev Month,6547946.0
Short Int Pct of Float,0.021455099999999998
Days to Cover,1.54366
Float,313.6733
Shares Outstanding,535.0663
Institutions Holding Shares,399.0
% Held by Institutions,0.6752360000000001
FCF Growth 5yr,-0.0072832985440269464
