,ACIW
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,0.2222222222222221
Growth 1yr High Est,0.23478260869565215
Growth 1yr Consensus Est,0.22850241545893712
Growth 2yr Low Est,0.06565656565656558
Growth 2yr High Est,0.12443355786895283
Growth 2yr Consensus Est,0.0950450617627592
Growth 5yr Low Est,0.06565656565656558
Growth 5yr High Est,0.12443355786895283
Growth 5yr Consensus Est,0.0950450617627592
Growth 5yr Actual/Est,0.26065443626988627
Growth 3yr Historic,0.20741369552914551
