,ACM
Price/Earnings (TTM),30.84642
Price/Sales (TTM),0.88685
Price/Book (MRQ),4.71779
Price/Cash Flow (TTM),19.91486
5yr Low,21.76
5yr High,84.83
5yr Avg Return,0.19648333333333334
EPS Growth 5yr,0.0503777
Revenue Growth 5yr,-0.0629934
Dividend Growth 5yr,
Short Int Current Month,1957609.0
Short Int Prev Month,2020425.0
Short Int Pct of Float,0.014214599999999999
Days to Cover,2.70821
Float,137.7183
Shares Outstanding,138.6503
Institutions Holding Shares,511.0
% Held by Institutions,0.8632
FCF Growth 5yr,0.6387590117919059
