,2017,2018,2019,2020,2021,2022,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Report
high,158.44,175.64,213.25,271.18,417.37,415.53,,,,,
low,145.23,132.63,135.58,137.15,241.73,242.95,,,,,
change,0.0344,-0.08140000000000001,0.5157,0.23879999999999998,0.5883,-0.2852,,,,,
Date,,,,,,,2021-11-30 00:00:00,2022-02-28 00:00:00,2022-05-31 00:00:00,2022-08-31 00:00:00,Balance Sheet
Cash & Equivalents,,,,,,,5637.0,5466.0,6704.0,7890.0,Balance Sheet
Short Term Investments,,,,,,,7.0,6.0,4.0,4.0,Balance Sheet
Cash and Short Term Invs,,,,,,,5644.0,5472.0,6708.0,7894.0,Balance Sheet
"Total Receivables, Net",,,,,,,11120.0,11591.0,12219.0,11777.0,Balance Sheet
"Other Curr. Assets, Total",,,,,,,1857.0,2122.0,2081.0,1940.0,Balance Sheet
Total Current Assets,,,,,,,18622.0,19185.0,21008.0,21611.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,,,,4121.0,4235.0,4291.0,4149.0,Balance Sheet
Accumulated Depreciation,,,,,,,-2467.0,-2578.0,-2625.0,-2490.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,,,4811.0,4906.0,4844.0,4678.0,Balance Sheet
"Goodwill, Net",,,,,,,12396.0,12428.0,12499.0,13133.0,Balance Sheet
Intangibles - Gross,,,,,,,2780.0,2770.0,2821.0,2971.0,Balance Sheet
Accum. Intangible Amort.,,,,,,,-834.0,-926.0,-999.0,-1040.0,Balance Sheet
Intangibles - Net,,,,,,,1945.0,1844.0,1821.0,1931.0,Balance Sheet
LT Invt. - Affiliate Comp.,,,,,,,177.0,181.0,173.0,164.0,Balance Sheet
LT Investments - Other,,,,,,,149.0,156.0,159.0,154.0,Balance Sheet
Long Term Investments,,,,,,,326.0,337.0,332.0,318.0,Balance Sheet
Note Rcvble - Long Term,,,,,,,42.0,39.0,36.0,47.0,Balance Sheet
Deferred Charges,,,,,,,752.0,794.0,826.0,808.0,Balance Sheet
Def. Inc. Tax - LT Asset,,,,,,,4037.0,4018.0,4013.0,4001.0,Balance Sheet
Other Long Term Assets,,,,,,,745.0,767.0,716.0,737.0,Balance Sheet
Total Assets,,,,,,,43675.0,44318.0,46095.0,47263.0,Balance Sheet
Accounts Payable,,,,,,,2210.0,2229.0,2384.0,2559.0,Balance Sheet
Accrued Expenses,,,,,,,8459.0,8121.0,8992.0,9830.0,Balance Sheet
Notes Payable/ST Debt,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,,,,9.0,9.0,9.0,9.0,Balance Sheet
Customer Advances,,,,,,,4006.0,4663.0,4561.0,4478.0,Balance Sheet
Income Taxes Payable,,,,,,,548.0,518.0,616.0,646.0,Balance Sheet
"Other Curr. Lblts, Total",,,,,,,4554.0,5181.0,5177.0,5125.0,Balance Sheet
Total Current Liabilities,,,,,,,15232.0,15540.0,16563.0,17523.0,Balance Sheet
Total Long Term Debt,,,,,,,56.0,52.0,52.0,46.0,Balance Sheet
Total Debt,,,,,,,65.0,61.0,60.0,55.0,Balance Sheet
Deferred Income Tax,,,,,,,320.0,336.0,365.0,319.0,Balance Sheet
Minority Interest,,,,,,,585.0,597.0,623.0,641.0,Balance Sheet
Pension Benefits - Underfunded,,,,,,,2045.0,2050.0,2026.0,1692.0,Balance Sheet
Other LT Liabilities,,,,,,,5083.0,5183.0,5078.0,4936.0,Balance Sheet
