,ACVA
Price/Earnings (TTM),
Price/Sales (TTM),2.92359
Price/Book (MRQ),2.47889
Price/Cash Flow (TTM),
5yr Low,6.1
5yr High,37.77
5yr Avg Return,-0.49665000000000004
Short Int Current Month,7090905.0
Short Int Prev Month,8008466.0
Short Int Pct of Float,0.061149800000000004
Days to Cover,4.89513
Float,75.56657
Shares Outstanding,158.2147
Institutions Holding Shares,195.0
% Held by Institutions,0.9384239999999999
FCF Growth 5yr,-0.033521644065263624
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
