,ADNT
% Below High,0.23
% Held by Institutions,0.9702
52-Wk Range,['27.15 - 50.96']
Annual Dividend $,
Annual Dividend %,
Ask,45.0
Ask Size,200.0
B/A Ratio,2.5
B/A Size,500x200
Beta,2.7
Bid,35.0
Bid Size,500.0
Closing Price,39.24
Day Change $,-0.04
Day Change %,-0.001
Day High,39.38
Day Low,38.82
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.27
Ex-dividend Date,No dividend
Historical Volatility,0.65
Last (size),45.0
Last (time),5:00p ET 11/25/22
Market Cap,3.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,39.28
Short Interest,0.0417
Today's Open,39.17
Volume,405232.0
Volume 10-day Avg,736456.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-03 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.4912280701754388
Growth 2yr High Est,0.6866840731070496
Growth 2yr Consensus Est,0.5889560716412442
Growth 5yr Low Est,0.4912280701754388
Growth 5yr High Est,0.6866840731070496
Growth 5yr Consensus Est,0.5889560716412442
Growth 5yr Actual/Est,-7.9997259400435645
Growth 3yr Historic,-13.486778846153847
Price/Earnings (TTM),
Price/Sales (TTM),0.2636
Price/Book (MRQ),1.79558
Price/Cash Flow (TTM),12.00721
5yr Low,5.9
5yr High,84.59
5yr Avg Return,0.06563333333333334
EPS Growth 5yr,
Revenue Growth 5yr,-0.0272518
Dividend Growth 5yr,
Short Int Current Month,3917138.0
Short Int Prev Month,3895432.0
Short Int Pct of Float,0.0417038
Days to Cover,4.11338
Float,94.18223
Shares Outstanding,94.85816
Institutions Holding Shares,327.0
FCF Growth 5yr,-0.22785486020780135
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.0571
Operating Profit Margin (TTM),0.0103
Net Profit Margin (TTM),-0.0028000000000000004
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),2.4953
EPS Growth (TTM),-1.1098999999999999
Revenue Growth (MRQ),0.04730000000000001
Revenue Growth (TTM),0.0322
Return On Equity (TTM),-0.053899999999999997
Return On Assets (TTM),-0.004
Return On Investment (TTM),-0.0067
Revenue Per Employee (TTM),188280.0
Total Debt/Total Capital (MRQ),0.5158
Change in Debt/Total Capital Quarter over Quarter,-0.0018
Quick Ratio (MRQ),0.92
Interest Coverage (MRQ),7.17
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2018-06-18 00:00:00
cfra since,2021-11-10 00:00:00
ford since,2022-09-23 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2021-10-14 00:00:00
