,ADT
% Below High,0.0546
% Held by Institutions,1.0584
52-Wk Range,['6.00 - 9.52']
Annual Dividend $,0.14
Annual Dividend %,0.015600000000000001
Ask,9.5
Ask Size,500.0
B/A Ratio,0.2
B/A Size,100x500
Beta,1.8
Bid,8.5
Bid Size,100.0
Closing Price,9.0
Day Change $,0.0
Day Change %,0.0
Day High,9.04
Day Low,8.93
Dividend Pay Date,2023-01-04 00:00:00
"EPS (TTM, GAAP)",-0.05
Ex-dividend,2022-12-14 00:00:00
Ex-dividend Date,12/14/22
Historical Volatility,0.42200000000000004
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,8.2B
"P/E Ratio (TTM, GAAP)",
Prev Close,9.0
Shares Outstanding,913.5M
Short Interest,0.015300000000000001
Today's Open,9.04
Volume,1936541.0
Volume 10-day Avg,3469107.0
Volume Past Day,(Light)
