,AEO
% Above Low,0.6702
% Held by Institutions,0.9698
52-Wk Range,['9.46 - 28.41']
Annual Dividend $,0.72
Annual Dividend %,0.045599999999999995
Ask,15.79
Ask Size,2000.0
B/A Ratio,0.05
B/A Size,100x2000
Beta,1.4
Bid,15.75
Bid Size,100.0
Closing Price,15.8
Day Change $,0.0
Day Change %,0.0
Day High,16.14
Day Low,15.78
Dividend Pay Date,2022-07-22 00:00:00
"EPS (TTM, GAAP)",0.57
Ex-dividend,2022-07-07 00:00:00
Ex-dividend Date,07/07/22
Historical Volatility,0.599
Last (size),2100.0
Last (time),5:00p ET 11/25/22
Market Cap,3.0B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",27.73
Prev Close,15.8
Shares Outstanding,187.3M
Short Interest,0.0949
Today's Open,15.92
Volume,3401697.0
Volume 10-day Avg,7691309.0
Volume Past Day,(Light)
