,AES
% Below High,0.017
% Held by Institutions,0.9548000000000001
52-Wk Range,['18.62 - 29.11']
Annual Dividend $,0.632
Annual Dividend %,0.022099999999999998
Ask,31.0
Ask Size,300.0
B/A Ratio,0.3333333333333333
B/A Size,100x300
Beta,1.0
Bid,27.97
Bid Size,100.0
Closing Price,28.61
Day Change $,0.13
Day Change %,0.0046
Day High,29.11
Day Low,28.56
Dividend Pay Date,2022-11-15 00:00:00
"EPS (TTM, GAAP)",-0.63
Ex-dividend,2022-10-31 00:00:00
Ex-dividend Date,10/31/22
Historical Volatility,0.354
Last (size),2.0
Last (time),5:00p ET 11/25/22
Market Cap,19.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,28.48
Shares Outstanding,667.9M
Short Interest,0.0183
Today's Open,28.71
Volume,1896615.0
Volume 10-day Avg,3968624.0
Volume Past Day,(Light)
