,AI
% Above Low,0.1169
% Held by Institutions,0.4268
52-Wk Range,['11.29 - 39.36']
Annual Dividend $,
Annual Dividend %,
Ask,12.95
Ask Size,400.0
B/A Ratio,0.75
B/A Size,300x400
Beta,
Bid,11.87
Bid Size,300.0
Closing Price,12.61
Day Change $,-0.08
Day Change %,-0.0063
Day High,12.71
Day Low,12.42
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-2.15
Ex-dividend Date,No dividend
Historical Volatility,0.795
Last (size),3.0
Last (time),5:00p ET 11/25/22
Market Cap,1.4B
"P/E Ratio (TTM, GAAP)",
Prev Close,12.69
Shares Outstanding,108.5M
Short Interest,0.10300000000000001
Today's Open,12.57
Volume,341813.0
Volume 10-day Avg,1335602.0
Volume Past Day,(Light)
