,2017,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,65.65,82.2,92.05,79.91,93.43,105.3,,,,,
low,60.23,57.95,60.35,30.46,65.14,75.24,,,,,
change,-0.0353,0.0159,0.23750000000000002,-0.0371,0.193,0.1485,,,,,
Date,,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash and Short Term Invs,,,,,,,302.0,307.0,321.0,276.0,Balance Sheet
"Trade Accts Recvble, Gross",,,,,,,168.0,186.0,181.0,180.0,Balance Sheet
Prov. for Doubtful Accts,,,,,,,-2.0,-4.0,-3.0,-3.0,Balance Sheet
"Trade Accts Recvble, Net",,,,,,,278.0,295.0,313.0,326.0,Balance Sheet
Notes Recvble - Short Term,,,,,,,26.0,25.0,22.0,22.0,Balance Sheet
Other Receivables,,,,,,,2.0,0.0,2.0,4.0,Balance Sheet
"Total Receivables, Net",,,,,,,306.0,320.0,337.0,352.0,Balance Sheet
Invent. - Finished Goods,,,,,,,14.0,17.0,18.0,15.0,Balance Sheet
Invent. - Work In Progress,,,,,,,45.0,48.0,51.0,52.0,Balance Sheet
Invent. - Raw Materials,,,,,,,59.0,58.0,65.0,67.0,Balance Sheet
Total Inventory,,,,,,,118.0,124.0,134.0,134.0,Balance Sheet
Prepaid Expenses,,,,,,,32.0,37.0,43.0,47.0,Balance Sheet
Total Current Assets,,,,,,,759.0,789.0,835.0,809.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,,,436.0,432.0,419.0,411.0,Balance Sheet
"Goodwill, Net",,,,,,,182.0,181.0,177.0,173.0,Balance Sheet
Intangibles - Net,,,,,,,39.0,37.0,36.0,34.0,Balance Sheet
Note Rcvble - Long Term,,,,,,,32.0,31.0,30.0,29.0,Balance Sheet
Other Long Term Assets,,,,,,,81.0,90.0,99.0,98.0,Balance Sheet
Total Assets,,,,,,,1556.0,1580.0,1613.0,1572.0,Balance Sheet
Accounts Payable,,,,,,,69.0,65.0,70.0,65.0,Balance Sheet
Accrued Expenses,,,,,,,117.0,109.0,105.0,101.0,Balance Sheet
Notes Payable/ST Debt,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Customer Advances,,,,,,,7.0,,5.0,6.0,Balance Sheet
Income Taxes Payable,,,,,,,15.0,5.0,8.0,17.0,Balance Sheet
"Other Curr. Lblts, Total",,,,,,,22.0,5.0,13.0,23.0,Balance Sheet
Total Current Liabilities,,,,,,,208.0,178.0,188.0,190.0,Balance Sheet
Total Long Term Debt,,,,,,,350.0,427.0,485.0,447.0,Balance Sheet
