,2017,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,32.55,38.92,52.84,57.27,53.53,51.93,,,,,
low,29.83,24.41,30.11,32.15,39.85,35.47,,,,,
change,0.0256,0.1274,0.3174,0.1504,-0.1152,0.0867,,,,,
Date,,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash & Equivalents,,,,,,,700.0,611.0,560.0,335.0,Balance Sheet
Short Term Investments,,,,,,,11.0,10.0,9.0,9.0,Balance Sheet
Cash and Short Term Invs,,,,,,,711.0,621.0,569.0,344.0,Balance Sheet
"Trade Accts Recvble, Net",,,,,,,415.0,515.0,547.0,537.0,Balance Sheet
Other Receivables,,,,,,,22.0,0.0,0.0,0.0,Balance Sheet
"Total Receivables, Net",,,,,,,437.0,515.0,548.0,537.0,Balance Sheet
Total Inventory,,,,,,,10.0,11.0,12.0,13.0,Balance Sheet
Prepaid Expenses,,,,,,,15.0,16.0,16.0,18.0,Balance Sheet
Restricted Cash - Current,,,,,,,3.0,3.0,3.0,3.0,Balance Sheet
Other Current Assets,,,,,,,60.0,67.0,98.0,87.0,Balance Sheet
"Other Curr. Assets, Total",,,,,,,63.0,70.0,101.0,90.0,Balance Sheet
Total Current Assets,,,,,,,1237.0,1233.0,1246.0,1002.0,Balance Sheet
Buildings,,,,,,,503.0,505.0,505.0,526.0,Balance Sheet
Land/Improvements,,,,,,,71.0,71.0,71.0,71.0,Balance Sheet
Machinery/Equipment,,,,,,,499.0,502.0,506.0,515.0,Balance Sheet
Construction in Progress,,,,,,,50.0,49.0,53.0,37.0,Balance Sheet
Other Prop./Plant/Equip.,,,,,,,53.0,50.0,46.0,50.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,,,,1176.0,1176.0,1181.0,1198.0,Balance Sheet
Accumulated Depreciation,,,,,,,-702.0,-713.0,-724.0,-735.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,,,474.0,463.0,457.0,463.0,Balance Sheet
"Goodwill, Net",,,,,,,161.0,161.0,161.0,161.0,Balance Sheet
Intangibles - Net,,,,,,,35.0,33.0,32.0,30.0,Balance Sheet
Note Rcvble - Long Term,,,,,,,261.0,254.0,249.0,252.0,Balance Sheet
Deferred Charges,,,,,,,62.0,62.0,62.0,62.0,Balance Sheet
Def. Inc. Tax - LT Asset,,,,,,,58.0,102.0,146.0,189.0,Balance Sheet
Other Long Term Assets,,,,,,,147.0,141.0,114.0,115.0,Balance Sheet
Total Assets,,,,,,,2434.0,2449.0,2466.0,2274.0,Balance Sheet
Accounts Payable,,,,,,,132.0,115.0,115.0,117.0,Balance Sheet
Accrued Expenses,,,,,,,122.0,104.0,124.0,128.0,Balance Sheet
Notes Payable/ST Debt,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,,,,167.0,177.0,179.0,15.0,Balance Sheet
Dividends Payable,,,,,,,2.0,,,,Balance Sheet
Customer Advances,,,,,,,367.0,367.0,372.0,351.0,Balance Sheet
Income Taxes Payable,,,,,,,,43.0,67.0,105.0,Balance Sheet
Other Current Liabilities,,,,,,,87.0,108.0,107.0,88.0,Balance Sheet
"Other Curr. Lblts, Total",,,,,,,455.0,518.0,545.0,544.0,Balance Sheet
Total Current Liabilities,,,,,,,876.0,913.0,963.0,803.0,Balance Sheet
Total Long Term Debt,,,,,,,295.0,286.0,277.0,292.0,Balance Sheet
Total Debt,,,,,,,461.0,463.0,456.0,307.0,Balance Sheet
Reserves,,,,,,,259.0,253.0,249.0,254.0,Balance Sheet
Pension Benefits - Underfunded,,,,,,,256.0,243.0,230.0,223.0,Balance Sheet
Other LT Liabilities,,,,,,,215.0,205.0,173.0,177.0,Balance Sheet
"Other Liabilities, Total",,,,,,,730.0,700.0,652.0,654.0,Balance Sheet
Total Liabilities,,,,,,,1900.0,1899.0,1892.0,1749.0,Balance Sheet
"Pref. Stock-Non Rdmbl, Net",,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Common Stock,,,,,,,8.0,8.0,8.0,8.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,,,,92.0,129.0,147.0,160.0,Balance Sheet
Treasury Stock - Common,,,,,,,-64.0,-64.0,-64.0,-63.0,Balance Sheet
Other Equity,,,,,,,599.0,573.0,575.0,505.0,Balance Sheet
Min. Pension Lblty Adj.,,,,,,,-101.0,,,,Balance Sheet
Other Comprehensive Income,,,,,,,,-96.0,-91.0,-85.0,Balance Sheet
"Other Equity, Total",,,,,,,498.0,477.0,484.0,420.0,Balance Sheet
Total Equity,,,,,,,534.0,550.0,574.0,525.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,,,,2434.0,2449.0,2466.0,2274.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,,,,78.0,78.0,78.0,78.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,,,,2.0,2.0,2.0,2.0,Balance Sheet
Date,,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,,,,,590.0,511.0,529.0,550.0,Income Statement
"Cost of Revenue, Total",,,,,,,490.0,426.0,470.0,459.0,Income Statement
Selling/Gen/Admin Expense,,,,,,,8.0,9.0,7.0,5.0,Income Statement
Labor & Related Expense,,,,,,,10.0,-1.0,3.0,1.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,,,,,18.0,8.0,10.0,6.0,Income Statement
