,ALGN
Next Earnings Announcement,2023-02-01 00:00:00
Growth Analysts,14.0
Growth 1yr Low Est,-0.3369245837414301
Growth 1yr High Est,-0.3442188879082083
Growth 1yr Consensus Est,-0.3405717358248192
Growth 2yr Low Est,-0.1773249211173915
Growth 2yr High Est,-0.03953878446554421
Growth 2yr Consensus Est,-0.10843185279146786
Growth 5yr Low Est,0.13844034317962206
Growth 5yr High Est,0.2509107548260514
Growth 5yr Consensus Est,0.1946755490028367
Growth 5yr Actual/Est,0.2078130582429476
Growth 3yr Historic,0.2716274864376131
