,2017,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,55.85,71.22,37.75,22.22,33.0,32.79,,,,,
low,49.74,27.54,17.11,11.98,18.02,21.75,,,,,
change,0.08230000000000001,-0.46340000000000003,-0.29460000000000003,-0.026400000000000003,0.1671,0.04360000000000001,,,,,
Date,,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash & Equivalents,,,,,,,338.0,283.0,255.0,264.0,Balance Sheet
Short Term Investments,,,,,,,199.0,246.0,326.0,316.0,Balance Sheet
Cash and Short Term Invs,,,,,,,536.0,529.0,581.0,580.0,Balance Sheet
"Total Receivables, Net",,,,,,,327.0,270.0,262.0,267.0,Balance Sheet
Invent. - Finished Goods,,,,,,,35.0,39.0,32.0,29.0,Balance Sheet
Invent. - Work In Progress,,,,,,,59.0,64.0,70.0,80.0,Balance Sheet
Invent. - Raw Materials,,,,,,,56.0,51.0,53.0,58.0,Balance Sheet
Total Inventory,,,,,,,150.0,155.0,156.0,166.0,Balance Sheet
Prepaid Expenses,,,,,,,49.0,61.0,47.0,40.0,Balance Sheet
Total Current Assets,,,,,,,1062.0,1015.0,1046.0,1054.0,Balance Sheet
Buildings,,,,,,,245.0,246.0,246.0,247.0,Balance Sheet
Land/Improvements,,,,,,,7.0,7.0,7.0,7.0,Balance Sheet
Construction in Progress,,,,,,,87.0,89.0,93.0,84.0,Balance Sheet
Other Prop./Plant/Equip.,,,,,,,514.0,516.0,518.0,521.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,,,,852.0,857.0,864.0,859.0,Balance Sheet
Accumulated Depreciation,,,,,,,-396.0,-405.0,-416.0,-425.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,,,457.0,452.0,448.0,433.0,Balance Sheet
"Goodwill, Net",,,,,,,93.0,93.0,93.0,93.0,Balance Sheet
Intangibles - Gross,,,,,,,584.0,584.0,584.0,584.0,Balance Sheet
Accum. Intangible Amort.,,,,,,,-510.0,-519.0,-528.0,-537.0,Balance Sheet
Intangibles - Net,,,,,,,74.0,65.0,56.0,47.0,Balance Sheet
Long Term Investments,,,,,,,229.0,230.0,179.0,167.0,Balance Sheet
Other Long Term Assets,,,,,,,27.0,11.0,12.0,11.0,Balance Sheet
Total Assets,,,,,,,2024.0,1978.0,1957.0,1942.0,Balance Sheet
Accounts Payable,,,,,,,56.0,28.0,40.0,33.0,Balance Sheet
Accrued Expenses,,,,,,,406.0,427.0,392.0,429.0,Balance Sheet
Notes Payable/ST Debt,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,,,,3.0,3.0,3.0,3.0,Balance Sheet
"Other Curr. Lblts, Total",,,,,,,6.0,5.0,4.0,4.0,Balance Sheet
Total Current Liabilities,,,,,,,471.0,462.0,439.0,470.0,Balance Sheet
Total Long Term Debt,,,,,,,293.0,292.0,292.0,291.0,Balance Sheet
Total Debt,,,,,,,296.0,295.0,295.0,294.0,Balance Sheet
"Other Liabilities, Total",,,,,,,148.0,148.0,145.0,139.0,Balance Sheet
Total Liabilities,,,,,,,912.0,902.0,875.0,899.0,Balance Sheet
"Pref. Stock-Non Rdmbl, Net",,,,,,,0.0,,,,Balance Sheet
Common Stock,,,,,,,2.0,2.0,2.0,2.0,Balance Sheet
Additional Paid-In Capital,,,,,,,2798.0,2819.0,2858.0,2886.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,,,,-1541.0,-1577.0,-1607.0,-1671.0,Balance Sheet
Treasury Stock - Common,,,,,,,-143.0,-160.0,-160.0,-161.0,Balance Sheet
"Other Equity, Total",,,,,,,-4.0,-8.0,-10.0,-13.0,Balance Sheet
Total Equity,,,,,,,1113.0,1075.0,1082.0,1043.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,,,,2024.0,1978.0,1957.0,1942.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,,,,162.0,163.0,164.0,164.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,,,,4.0,5.0,5.0,5.0,Balance Sheet
Date,,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,,,,,324463.0,278545.0,276219.0,252357.0,Income Statement
"Cost of Revenue, Total",,,,,,,53682.0,55159.0,58360.0,50625.0,Income Statement
Selling/Gen/Admin Expense,,,,,,,148760.0,134699.0,136623.0,136207.0,Income Statement
Labor & Related Expense,,,,,,,11648.0,10353.0,13754.0,16570.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,,,,,160408.0,145052.0,150377.0,152777.0,Income Statement
Research & Development,,,,,,,98374.0,93153.0,89973.0,97330.0,Income Statement
Depreciation,,,,,,,,2800.0,2900.0,3100.0,Income Statement
Amortiz of Intangibles,,,,,,,9616.0,8966.0,9066.0,9166.0,Income Statement
Depreciation/Amortization,,,,,,,9616.0,11766.0,11966.0,12266.0,Income Statement
Restructuring Charge,,,,,,,0.0,,,,Income Statement
Impair-Assets Held for Sale,,,,,,,0.0,,,,Income Statement
Other Unusual Expnse (In),,,,,,,0.0,,,,Income Statement
Unusual Expense (Income),,,,,,,0.0,,,,Income Statement
Total Operating Expense,,,,,,,322080.0,305130.0,310676.0,312998.0,Income Statement
Total Operating Income,,,,,,,2383.0,-26585.0,-34457.0,-60641.0,Income Statement
"Inter Expse,Net Non-Operat",,,,,,,-2405.0,-2350.0,-2369.0,-3552.0,Income Statement
"Inter Income, Non-Operating",,,,,,,453.0,573.0,896.0,2239.0,Income Statement
"Invest Income, Non-Operat",,,,,,,,500.0,100.0,0.0,Income Statement
"Inter/Invest Inc, Non-Oper",,,,,,,453.0,1073.0,996.0,2239.0,Income Statement
OtherNon-OperatInc (Expnse),,,,,,,-204.0,-17136.0,2580.0,-5414.0,Income Statement
"Other, Net",,,,,,,-204.0,-17136.0,2580.0,-5414.0,Income Statement
Income Before Tax,,,,,,,227.0,-44998.0,-33250.0,-67368.0,Income Statement
Income Tax - Total,,,,,,,-646.0,-9095.0,-3114.0,-3394.0,Income Statement
Income After Tax,,,,,,,873.0,-35903.0,-30136.0,-63974.0,Income Statement
Net Inc Before Extra Items,,,,,,,873.0,-35903.0,-30136.0,-63974.0,Income Statement
Total Net Income,,,,,,,873.0,-35903.0,-30136.0,-63974.0,Income Statement
Income Available to Common Excl. Extra. Items,,,,,,,873.0,-35903.0,-30136.0,-63974.0,Income Statement
Income Available to Common Incl. Extra. Items,,,,,,,873.0,-35903.0,-30136.0,-63974.0,Income Statement
Basic/Primary Weighted Average Shares,,,,,,,161842.0,162483.0,163839.0,164282.0,Income Statement
Basic/Primary EPS Excl. Extra. Items,,,,,,,0.01,-0.22,-0.18,-0.39,Income Statement
Basic/Primary EPS Incl. Extra. Items,,,,,,,0.01,-0.22,-0.18,-0.39,Income Statement
Diluted Weighted Average Shares,,,,,,,161842.0,162483.0,163839.0,164282.0,Income Statement
Diluted EPS Excl. Extra. Items,,,,,,,0.01,-0.22,-0.18,-0.39,Income Statement
Diluted EPS Incl. Extra. Items,,,,,,,0.01,-0.22,-0.18,-0.39,Income Statement
Div/Share-ComStockPrimIssue,,,,,,,,0.0,0.0,0.0,Income Statement
Gross Divid - Common Stock,,,,,,,0.0,0.0,0.0,0.0,Income Statement
Pro Forma Net Income,,,,,,,,,,,Income Statement
"Interest Expense, Suppl",,,,,,,2405.0,2350.0,2369.0,3552.0,Income Statement
"Depreciat/Amort, Suppl",,,,,,,11526.0,10231.0,10325.0,10431.0,Income Statement
Total Special Items,,,,,,,0.0,,,,Income Statement
Normalzd Income Before Tax,,,,,,,227.0,-44998.0,-33250.0,-67368.0,Income Statement
Efct/SpecItemsIncTxs (STEC),,,,,,,0.0,,,,Income Statement
IncTxsExcl ImpctofSpec Itms,,,,,,,-646.0,-9095.0,-3114.0,-3394.0,Income Statement
Normalized Income After Tax,,,,,,,873.0,-35903.0,-30136.0,-63974.0,Income Statement
Normalzd Inc Avail to Common,,,,,,,873.0,-35903.0,-30136.0,-63974.0,Income Statement
Basic Normalized EPS,,,,,,,0.01,-0.22,-0.18,-0.39,Income Statement
Diluted Normalized EPS,,,,,,,0.01,-0.22,-0.18,-0.39,Income Statement
Date,,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Cash Flow
Net Income,,,,,,,-48169.0,-35903.0,-66039.0,-130013.0,Cash Flow
Depreciation/Depletion,,,,,,,78652.0,19197.0,38588.0,58185.0,Cash Flow
Deferred Taxes,,,,,,,5081.0,-29301.0,-40815.0,-54073.0,Cash Flow
Unusual Items,,,,,,,2478.0,19067.0,18197.0,21750.0,Cash Flow
Other Non-Cash Items,,,,,,,89221.0,18714.0,42357.0,71517.0,Cash Flow
Non-Cash Items,,,,,,,91699.0,37781.0,60554.0,93267.0,Cash Flow
Accounts Receivable,,,,,,,-31974.0,56441.0,64259.0,59303.0,Cash Flow
Inventories,,,,,,,-24769.0,-4285.0,-4569.0,-15646.0,Cash Flow
Prepaid Expenses,,,,,,,11481.0,-15351.0,-1986.0,1872.0,Cash Flow
Other Assets,,,,,,,17051.0,4129.0,8331.0,12470.0,Cash Flow
Accrued Expenses,,,,,,,-16777.0,-4411.0,-8911.0,-13411.0,Cash Flow
Payable/Accrued,,,,,,,29853.0,-5458.0,-29045.0,4810.0,Cash Flow
Changes in Working Capital,,,,,,,-25548.0,29904.0,27084.0,52631.0,Cash Flow
Total Cash from Operations,,,,,,,101715.0,21678.0,19372.0,19997.0,Cash Flow
