,ALKS
% Above Low,0.1394
% Held by Institutions,0.9784999999999999
52-Wk Range,['21.24 - 32.79']
Annual Dividend $,
Annual Dividend %,
Ask,29.0
Ask Size,900.0
B/A Ratio,0.5555555555555556
B/A Size,500x900
Beta,0.6
Bid,24.0
Bid Size,500.0
Closing Price,24.2
Day Change $,-0.07
Day Change %,-0.0029
Day High,24.52
Day Low,24.11
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.79
Ex-dividend Date,No dividend
Historical Volatility,0.401
Last (size),77.0
Last (time),12:59p ET 11/25/22
Market Cap,4.0B
"P/E Ratio (TTM, GAAP)",
Prev Close,24.27
Shares Outstanding,164.3M
Short Interest,0.0564
Today's Open,24.28
Volume,652814.0
Volume 10-day Avg,1652742.0
Volume Past Day,(Light)
