,ALL
Price/Earnings (TTM),
Price/Sales (TTM),0.70732
Price/Book (MRQ),2.29394
Price/Cash Flow (TTM),41.80987
5yr Low,64.13
5yr High,144.46
5yr Avg Return,0.07033333333333332
EPS Growth 5yr,0.2946752
Revenue Growth 5yr,0.0654402
Dividend Growth 5yr,0.181499
Short Int Current Month,3563029.0
Short Int Prev Month,4415647.0
Short Int Pct of Float,0.013525
Days to Cover,2.0437
Float,263.5032
Shares Outstanding,265.2096
Institutions Holding Shares,1543.0
% Held by Institutions,0.785579
FCF Growth 5yr,1.7675017713594945
