,ALLO
% Above Low,0.6763
% Held by Institutions,0.7412000000000001
52-Wk Range,['6.43 - 19.25']
Annual Dividend $,
Annual Dividend %,
Ask,13.5
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.6
Bid,10.44
Bid Size,100.0
Closing Price,10.77
Day Change $,0.17
Day Change %,0.016
Day High,10.86
Day Low,10.4
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-2.2
Ex-dividend Date,No dividend
Historical Volatility,0.8079999999999999
Last (size),100.0
Last (time),1:00p ET 11/25/22
Market Cap,1.6B
"P/E Ratio (TTM, GAAP)",
Prev Close,10.6
Shares Outstanding,144.2M
Short Interest,0.3814
Today's Open,10.47
Volume,762462.0
Volume 10-day Avg,1849423.0
Volume Past Day,(Light)
