,ALLY
Next Earnings Announcement,2023-01-20 00:00:00
Growth Analysts,14.0
Growth 1yr Low Est,-0.3028846153846154
Growth 1yr High Est,-0.27809307604994327
Growth 1yr Consensus Est,-0.29048884571727934
Growth 2yr Low Est,-0.4842009283819629
Growth 2yr High Est,-0.11703395940861944
Growth 2yr Consensus Est,-0.30061744389529116
Growth 5yr Low Est,0.07620554673798027
Growth 5yr High Est,0.2680537009239626
Growth 5yr Consensus Est,0.1721296238309714
Growth 5yr Actual/Est,0.2811271336599188
Growth 3yr Historic,0.41402507186202486
