,ANTM
Next Earnings Announcement,2023-01-25 00:00:00
Growth Analysts,25.0
Growth 1yr Low Est,0.11992263056092844
Growth 1yr High Est,0.07009174311926603
Growth 1yr Consensus Est,0.09500718684009724
Growth 2yr Low Est,0.1160925760749375
Growth 2yr High Est,0.10517618706031884
Growth 2yr Consensus Est,0.11063438156762817
Growth 5yr Low Est,0.13565987441258803
Growth 5yr High Est,0.14411929257560613
Growth 5yr Consensus Est,0.13988958349409708
Growth 5yr Actual/Est,0.13897287332813096
Growth 3yr Historic,0.0780181377502453
