,AOSL,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",2.2,20.56,Valuation,0.10700389105058367
Price/Sales (TTM),1.21,7.41,Valuation,0.1632928475033738
Price/Book (MRQ),1.09,13.13,Valuation,0.08301599390708302
"PEG Ratio (TTM, GAAP)",,0.9,Valuation,
Gross Profit Margin (TTM),0.3443,0.5489,Profitability,0.627254509018036
Operating Profit Margin (TTM),0.6279,0.25739999999999996,Profitability,2.43939393939394
Net Profit Margin (TTM),0.5731,0.2224,Profitability,2.5768884892086334
Annual Dividend Yield,,0.014499999999999999,Dividend,
Dividend Change %,,0.0676,Dividend,
"Dividend Growth Rate, 3 Years",,0.091,Dividend,
EPS Growth (MRQ),0.6692,1.5356,Gowth rates,0.43579057046105757
EPS Growth (TTM),5.1673,0.2274,Gowth rates,22.72339489885664
Revenue Growth (MRQ),0.0748,0.1335,Gowth rates,0.5602996254681648
Revenue Growth (TTM),0.154,0.24170000000000003,Gowth rates,0.6371534960695076
Return On Equity (TTM),0.7086,0.36920000000000003,Effectiveness,1.919284940411701
Return On Assets (TTM),0.3976,0.16010000000000002,Effectiveness,2.4834478450968143
Return On Investment (TTM),0.5515,0.1925,Effectiveness,2.864935064935065
Revenue Per Employee (TTM),325987.0,898550.0,Effectiveness,0.36279227644538425
Total Debt/Total Capital (MRQ),0.08130000000000001,0.3576,Financial strength,0.22734899328859065
Change in Debt/Total Capital Quarter over Quarter,-0.0063,0.0,Financial strength,-inf
Quick Ratio (MRQ),1.57,2.24,Financial strength,0.7008928571428571
Interest Coverage (MRQ),42.0,15.8,Financial strength,2.6582278481012658
