,APAM
Price/Earnings (TTM),9.87973
Price/Sales (TTM),2.48397
Price/Book (MRQ),11.25291
Price/Cash Flow (TTM),9.04546
5yr Low,17.69
5yr High,57.65
5yr Avg Return,0.045116666666666666
EPS Growth 5yr,0.2650555
Revenue Growth 5yr,0.1122836
Dividend Growth 5yr,0.1031002
Short Int Current Month,3938008.0
Short Int Prev Month,3926846.0
Short Int Pct of Float,0.059704499999999994
Days to Cover,6.0591
Float,65.9583
Shares Outstanding,79.61156
Institutions Holding Shares,338.0
% Held by Institutions,0.81513
FCF Growth 5yr,0.009488674088322954
