,APEI
Next Earnings Announcement,2023-03-01 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,-6.390909090909091
Growth 1yr High Est,-5.588709677419355
Growth 1yr Consensus Est,-5.989809384164223
Growth 2yr Low Est,-3.7131611221830445
Growth 2yr High Est,-3.359381200748342
Growth 2yr Consensus Est,-3.5362711614656934
Growth 5yr Low Est,-1.8495712152971298
Growth 5yr High Est,-1.6529048860884568
Growth 5yr Consensus Est,-1.7512380506927934
Growth 5yr Actual/Est,-2.046265480287234
Growth 3yr Historic,-0.019302752293577974
