,ASND
% Below High,0.2165
% Held by Institutions,1.1393
52-Wk Range,['61.58 - 147.97']
Annual Dividend $,
Annual Dividend %,
Ask,187.72
Ask Size,200.0
B/A Ratio,2.0
B/A Size,400x200
Beta,0.5
Bid,107.8
Bid Size,400.0
Closing Price,115.94
Day Change $,-2.9
Day Change %,-0.024399999999999998
Day High,120.37
Day Low,115.3
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-8.9
Ex-dividend Date,No dividend
Historical Volatility,0.5760000000000001
Last (size),316.0
Last (time),12:59p ET 11/25/22
Market Cap,6.6B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,118.84
Shares Outstanding,57.0M
Short Interest,0.17170000000000002
Today's Open,118.86
Volume,193296.0
Volume 10-day Avg,579407.0
Volume Past Day,(Light)
