,ASO
% Below High,0.0151
% Held by Institutions,0.9926999999999999
52-Wk Range,['25.10 - 52.34']
Annual Dividend $,0.3
Annual Dividend %,0.0058
Ask,51.54
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,
Bid,51.36
Bid Size,100.0
Closing Price,51.55
Day Change $,-0.46
Day Change %,-0.0088
Day High,52.3
Day Low,51.45
Dividend Pay Date,2022-10-13 00:00:00
"EPS (TTM, GAAP)",7.2
Ex-dividend,2022-09-14 00:00:00
Ex-dividend Date,09/14/22
Historical Volatility,0.5710000000000001
Last (size),10.0
Last (time),1:00p ET 11/25/22
Market Cap,4.1B
"P/E Ratio (TTM, GAAP)",7.16
Prev Close,52.01
Shares Outstanding,79.7M
Short Interest,0.1839
Today's Open,51.71
Volume,559692.0
Volume 10-day Avg,1703244.0
Volume Past Day,(Light)
