,ATEX
% Above Low,0.21739999999999998
% Held by Institutions,0.8311
52-Wk Range,['29.74 - 61.25']
Annual Dividend $,
Annual Dividend %,
Ask,56.82
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,0.6
Bid,14.48
Bid Size,200.0
Closing Price,36.2
Day Change $,-0.53
Day Change %,-0.0144
Day High,37.2
Day Low,35.96
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-2.56
Ex-dividend Date,No dividend
Historical Volatility,0.368
Last (size),9.0
Last (time),12:59p ET 11/25/22
Market Cap,686.7M
"P/E Ratio (TTM, GAAP)",
Prev Close,36.73
Shares Outstanding,19.0M
Short Interest,0.0398
Today's Open,36.82
Volume,35315.0
Volume 10-day Avg,96525.0
Volume Past Day,(Light)
