,2017,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,25.11,30.25,29.5,20.91,25.04,33.31,,,,,
low,21.53,20.84,17.03,4.95,13.85,16.02,,,,,
change,0.0782,-0.1103,-0.0273,-0.19760000000000003,-0.0733,0.8421,,,,,
Date,,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash and Short Term Invs,,,,,,,688.0,317.0,274.0,329.0,Balance Sheet
"Trade Accts Recvble, Gross",,,,,,,474.0,562.0,631.0,682.0,Balance Sheet
Prov. for Doubtful Accts,,,,,,,-4.0,-4.0,-4.0,-4.0,Balance Sheet
"Total Receivables, Net",,,,,,,524.0,609.0,681.0,748.0,Balance Sheet
Invent. - Finished Goods,,,,,,,122.0,113.0,117.0,103.0,Balance Sheet
Invent. - Work In Progress,,,,,,,830.0,919.0,988.0,988.0,Balance Sheet
Invent. - Raw Materials,,,,,,,160.0,220.0,236.0,196.0,Balance Sheet
Inventories - Other,,,,,,,-65.0,-63.0,-70.0,-69.0,Balance Sheet
Total Inventory,,,,,,,1046.0,1189.0,1271.0,1217.0,Balance Sheet
Prepaid Expenses,,,,,,,49.0,112.0,85.0,75.0,Balance Sheet
"Other Curr. Assets, Total",,,,,,,,59.0,,,Balance Sheet
Total Current Assets,,,,,,,2307.0,2286.0,2312.0,2369.0,Balance Sheet
Buildings,,,,,,,576.0,586.0,587.0,595.0,Balance Sheet
Land/Improvements,,,,,,,34.0,32.0,32.0,31.0,Balance Sheet
Machinery/Equipment,,,,,,,2870.0,2799.0,2809.0,2822.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,,,,3480.0,3416.0,3427.0,3448.0,Balance Sheet
Accumulated Depreciation,,,,,,,-1952.0,-1914.0,-1936.0,-1951.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,,,1529.0,1503.0,1491.0,1497.0,Balance Sheet
"Goodwill, Net",,,,,,,228.0,227.0,227.0,227.0,Balance Sheet
Other Long Term Assets,,,,,,,222.0,194.0,199.0,195.0,Balance Sheet
Total Assets,,,,,,,4285.0,4236.0,4229.0,4288.0,Balance Sheet
Accounts Payable,,,,,,,376.0,396.0,422.0,410.0,Balance Sheet
Notes Payable/ST Debt,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,,,,131.0,117.0,33.0,29.0,Balance Sheet
Customer Advances,,,,,,,116.0,133.0,126.0,121.0,Balance Sheet
Discontinued Operations,,,,,,,,18.0,,,Balance Sheet
Other Current Liabilities,,,,,,,233.0,214.0,220.0,263.0,Balance Sheet
"Other Curr. Lblts, Total",,,,,,,350.0,364.0,345.0,384.0,Balance Sheet
Total Current Liabilities,,,,,,,856.0,877.0,800.0,823.0,Balance Sheet
Total Long Term Debt,,,,,,,1712.0,1707.0,1703.0,1700.0,Balance Sheet
Total Debt,,,,,,,1843.0,1824.0,1736.0,1729.0,Balance Sheet
Minority Interest,,,,,,,147.0,137.0,131.0,125.0,Balance Sheet
Pension Benefits - Underfunded,,,,,,,674.0,655.0,637.0,620.0,Balance Sheet
Other LT Liabilities,,,,,,,211.0,199.0,195.0,207.0,Balance Sheet
Discont. Ops. - Lblts,,,,,,,,2.0,,,Balance Sheet
"Other Liabilities, Total",,,,,,,885.0,856.0,832.0,826.0,Balance Sheet
Total Liabilities,,,,,,,3600.0,3577.0,3467.0,3474.0,Balance Sheet
Redeemable Preferred Stock,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Common Stock,,,,,,,13.0,13.0,13.0,13.0,Balance Sheet
Additional Paid-In Capital,,,,,,,1597.0,1603.0,1657.0,1662.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,,,,73.0,104.0,39.0,100.0,Balance Sheet
Treasury Stock - Common,,,,,,,-5.0,-100.0,-37.0,-52.0,Balance Sheet
Cum. Trans. Adjustment,,,,,,,-65.0,-72.0,-65.0,-86.0,Balance Sheet
Min. Pension Lblty Adj.,,,,,,,-948.0,-933.0,-883.0,-869.0,Balance Sheet
Other Comprehensive Income,,,,,,,21.0,45.0,39.0,44.0,Balance Sheet
"Other Equity, Total",,,,,,,-992.0,-961.0,-909.0,-910.0,Balance Sheet
Total Equity,,,,,,,686.0,659.0,763.0,814.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,,,,4285.0,4236.0,4229.0,4288.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,,,,127.0,124.0,130.0,129.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,,,,0.0,4.0,1.0,2.0,Balance Sheet
Date,,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,,,,,765.0,834.0,960.0,1032.0,Income Statement
"Cost of Revenue, Total",,,,,,,643.0,665.0,784.0,848.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,,,,,58.0,75.0,72.0,73.0,Income Statement
Restructuring Charge,,,,,,,-3.0,-1.0,-1.0,-3.0,Income Statement
Litigation,,,,,,,,9.0,0.0,20.0,Income Statement
Impair-Assets Held for Use,,,,,,,0.0,22.0,0.0,0.0,Income Statement
Other Unusual Expnse (In),,,,,,,65.0,3.0,116.0,,Income Statement
Unusual Expense (Income),,,,,,,63.0,26.0,115.0,17.0,Income Statement
Loss(Gain)/Sale Asts (Oper),,,,,,,,-7.0,0.0,0.0,Income Statement
Total Operating Expense,,,,,,,764.0,766.0,971.0,939.0,Income Statement
Total Operating Income,,,,,,,2.0,68.0,-12.0,93.0,Income Statement
"Inter Expse, Non-Operating",,,,,,,-85.0,-4.0,-4.0,-3.0,Income Statement
"Inter Capital, Non-Operat",,,,,,,1.0,,,,Income Statement
"Inter Expse,Net Non-Operat",,,,,,,-84.0,-4.0,-4.0,-3.0,Income Statement
"Inter/Invest Inc, Non-Oper",,,,,,,0.0,0.0,10.0,1.0,Income Statement
"Inter Inc(Exp),Net Non-Oper",,,,,,,60.0,-20.0,-19.0,-18.0,Income Statement
Gain(Loss)on Sale of Assets,,,,,,,0.0,0.0,0.0,0.0,Income Statement
"Other, Net",,,,,,,-7.0,-5.0,-6.0,-6.0,Income Statement
Income Before Tax,,,,,,,-29.0,40.0,-31.0,67.0,Income Statement
