,ATR
Next Earnings Announcement,2023-02-16 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,-0.07853403141361248
Growth 1yr High Est,-0.06106870229007644
Growth 1yr Consensus Est,-0.06980136685184446
Growth 2yr Low Est,-0.05631247025226083
Growth 2yr High Est,0.023666190860381797
Growth 2yr Consensus Est,-0.016323139695939515
Growth 5yr Low Est,-0.03308013205920532
Growth 5yr High Est,0.011921288001263713
Growth 5yr Consensus Est,-0.010579422028970803
Growth 5yr Actual/Est,-0.009603110825483985
Growth 3yr Historic,-0.003136736681040475
