,AVNW,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",28.07,26.06,Valuation,1.077129700690714
Price/Sales (TTM),1.17,5.09,Valuation,0.22986247544204322
Price/Book (MRQ),1.8,4.51,Valuation,0.39911308203991136
"PEG Ratio (TTM, GAAP)",,2.07,Valuation,
Gross Profit Margin (TTM),0.36200000000000004,0.5751,Profitability,0.629455746826639
Operating Profit Margin (TTM),0.08310000000000001,0.2231,Profitability,0.3724787090990588
Net Profit Margin (TTM),0.0441,0.1819,Profitability,0.24244090159428255
Annual Dividend Yield,,0.0201,Dividend,
Dividend Change %,,0.052300000000000006,Dividend,
"Dividend Growth Rate, 3 Years",,0.0484,Dividend,
EPS Growth (MRQ),-1.6348,-0.16579999999999998,Gowth rates,9.860072376357058
EPS Growth (TTM),-0.8753000000000001,0.1262,Gowth rates,-6.93581616481775
Revenue Growth (MRQ),0.0495,0.1365,Gowth rates,0.3626373626373626
Revenue Growth (TTM),0.1039,0.0862,Gowth rates,1.2053364269141533
Return On Equity (TTM),0.0709,0.195,Effectiveness,0.3635897435897436
Return On Assets (TTM),0.0432,0.1241,Effectiveness,0.34810636583400484
Return On Investment (TTM),0.0652,0.1684,Effectiveness,0.3871733966745843
Revenue Per Employee (TTM),489076.0,688581.0,Effectiveness,0.7102664755489914
Total Debt/Total Capital (MRQ),0.0,0.36450000000000005,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.0002,Financial strength,
Quick Ratio (MRQ),1.46,1.51,Financial strength,0.966887417218543
Interest Coverage (MRQ),,1.83,Financial strength,
