,AVXL
% Above Low,0.6676000000000001
% Held by Institutions,0.3049
52-Wk Range,['7.13 - 21.30']
Annual Dividend $,
Annual Dividend %,
Ask,12.3
Ask Size,100.0
B/A Ratio,11.0
B/A Size,1100x100
Beta,0.8
Bid,12.12
Bid Size,1100.0
Closing Price,11.89
Day Change $,0.53
Day Change %,0.0467
Day High,11.95
Day Low,11.25
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.59
Ex-dividend Date,No dividend
Historical Volatility,0.795
Last (size),1.0
Last (time),12:59p ET 11/25/22
Market Cap,928.3M
"P/E Ratio (TTM, GAAP)",
Prev Close,11.36
Shares Outstanding,77.9M
Short Interest,0.13449999999999998
Today's Open,11.3
Volume,778695.0
Volume 10-day Avg,1192325.0
Volume Past Day,(Light)
