,AXNX
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,-0.14646464646464652
Growth 1yr High Est,-0.15340909090909094
Growth 1yr Consensus Est,-0.14993686868686873
Growth 2yr Low Est,-0.14719682027374337
Growth 2yr High Est,-0.4256978340451495
Growth 2yr Consensus Est,-0.28644732715944643
Growth 5yr Low Est,-0.11708211941005467
Growth 5yr High Est,-0.26941154207259477
Growth 5yr Consensus Est,-0.1932468307413247
Growth 5yr Actual/Est,-0.1901443804669611
Growth 3yr Historic,-0.053667953667953655
