,AXNX,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,61.36,Valuation,
Price/Sales (TTM),13.51,9.8,Valuation,1.3785714285714286
Price/Book (MRQ),5.92,10.31,Valuation,0.574199806013579
"PEG Ratio (TTM, GAAP)",,3.02,Valuation,
Gross Profit Margin (TTM),0.706,0.6196,Profitability,1.1394448030987732
Operating Profit Margin (TTM),-0.32799999999999996,0.047,Profitability,-6.978723404255319
Net Profit Margin (TTM),-0.3135,0.009300000000000001,Profitability,-33.70967741935483
Annual Dividend Yield,,0.0095,Dividend,
Dividend Change %,,0.0679,Dividend,
"Dividend Growth Rate, 3 Years",,0.0524,Dividend,
EPS Growth (MRQ),0.2725,-0.4858,Gowth rates,-0.560930424042816
EPS Growth (TTM),0.0954,-0.2029,Gowth rates,-0.4701823558403154
Revenue Growth (MRQ),0.0204,0.1161,Gowth rates,0.1757105943152455
Revenue Growth (TTM),0.4877,0.18300000000000002,Gowth rates,2.6650273224043715
Return On Equity (TTM),-0.14529999999999998,0.1068,Effectiveness,-1.3604868913857675
Return On Assets (TTM),-0.1266,0.0622,Effectiveness,-2.035369774919614
Return On Investment (TTM),-0.13670000000000002,0.0732,Effectiveness,-1.8674863387978144
Revenue Per Employee (TTM),465994.0,403586.0,Effectiveness,1.1546337088006027
Total Debt/Total Capital (MRQ),0.0,0.3161,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,-0.01,0.0125,Financial strength,-0.7999999999999999
Quick Ratio (MRQ),6.44,2.25,Financial strength,2.8622222222222224
Interest Coverage (MRQ),-20.49,14.99,Financial strength,-1.3669112741827885
