,AXSM
% Below High,0.21059999999999998
% Held by Institutions,0.5839
52-Wk Range,['20.63 - 71.98']
Annual Dividend $,
Annual Dividend %,
Ask,57.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.8
Bid,56.85
Bid Size,100.0
Closing Price,56.82
Day Change $,0.6
Day Change %,0.010700000000000001
Day High,57.17
Day Low,55.31
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-4.07
Ex-dividend Date,No dividend
Historical Volatility,1.043
Last (size),10.0
Last (time),12:59p ET 11/25/22
Market Cap,2.5B
"P/E Ratio (TTM, GAAP)",
Prev Close,56.22
Shares Outstanding,43.4M
Short Interest,0.1917
Today's Open,56.02
Volume,327439.0
Volume 10-day Avg,1199047.0
Volume Past Day,(Light)
