,2017,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,10.5,9.45,6.14,11.65,15.84,9.94,,,,,
low,8.15,3.93,2.72,1.85,6.53,4.17,,,,,
change,-0.1471,-0.5029,0.0116,1.195,-0.10099999999999999,-0.3982,,,,,
Date,,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash & Equivalents,,,,,,,36763.0,29494.0,41043.0,32918.0,Balance Sheet
Short Term Investments,,,,,,,5419.0,5400.0,4471.0,7207.0,Balance Sheet
Cash and Short Term Invs,,,,,,,42182.0,34894.0,45514.0,40125.0,Balance Sheet
"Trade Accts Recvble, Gross",,,,,,,34969.0,39978.0,39058.0,38438.0,Balance Sheet
Prov. for Doubtful Accts,,,,,,,-130.0,-130.0,-307.0,-307.0,Balance Sheet
"Total Receivables, Net",,,,,,,34839.0,39848.0,38751.0,38131.0,Balance Sheet
Invent. - Finished Goods,,,,,,,3649.0,3461.0,2841.0,3860.0,Balance Sheet
Invent. - Work In Progress,,,,,,,32605.0,32411.0,35976.0,40491.0,Balance Sheet
Invent. - Raw Materials,,,,,,,29658.0,32949.0,38463.0,44145.0,Balance Sheet
Total Inventory,,,,,,,65912.0,68821.0,77280.0,88496.0,Balance Sheet
Prepaid Expenses,,,,,,,17252.0,16501.0,11935.0,10804.0,Balance Sheet
"Other Curr. Assets, Total",,,,,,,,,3900.0,3900.0,Balance Sheet
Total Current Assets,,,,,,,160185.0,160064.0,177380.0,181456.0,Balance Sheet
Buildings,,,,,,,115821.0,116131.0,116585.0,118629.0,Balance Sheet
Machinery/Equipment,,,,,,,59284.0,59617.0,58437.0,58983.0,Balance Sheet
Construction in Progress,,,,,,,31664.0,37467.0,41057.0,36635.0,Balance Sheet
Other Prop./Plant/Equip.,,,,,,,2324.0,2223.0,2021.0,1820.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,,,,209093.0,215438.0,218100.0,216067.0,Balance Sheet
Accumulated Depreciation,,,,,,,-64354.0,-65929.0,-63197.0,-61520.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,,,144739.0,149509.0,154903.0,154547.0,Balance Sheet
LT Invt. - Affiliate Comp.,,,,,,,10166.0,11300.0,13100.0,13700.0,Balance Sheet
LT Investments - Other,,,,,,,9576.0,9400.0,7760.0,4196.0,Balance Sheet
Long Term Investments,,,,,,,19742.0,20700.0,20860.0,17896.0,Balance Sheet
Other Long Term Assets,,,,,,,7775.0,8126.0,8122.0,7877.0,Balance Sheet
Total Assets,,,,,,,332441.0,338399.0,361265.0,361776.0,Balance Sheet
Accounts Payable,,,,,,,19623.0,14667.0,24178.0,16958.0,Balance Sheet
Accrued Expenses,,,,,,,9305.0,6789.0,8039.0,7295.0,Balance Sheet
Notes Payable/ST Debt,,,,,,,14116.0,20192.0,32973.0,42998.0,Balance Sheet
Dividends Payable,,,,,,,2901.0,2901.0,2901.0,2901.0,Balance Sheet
Customer Advances,,,,,,,946.0,1024.0,757.0,435.0,Balance Sheet
Income Taxes Payable,,,,,,,539.0,1001.0,1447.0,1387.0,Balance Sheet
Other Payables,,,,,,,392.0,230.0,576.0,933.0,Balance Sheet
"Other Curr. Lblts, Total",,,,,,,4778.0,5156.0,5681.0,5656.0,Balance Sheet
Total Current Liabilities,,,,,,,47822.0,46804.0,70871.0,72907.0,Balance Sheet
Total Long Term Debt,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Total Debt,,,,,,,14116.0,20192.0,32973.0,42998.0,Balance Sheet
Minority Interest,,,,,,,68702.0,71806.0,70412.0,68207.0,Balance Sheet
"Other Liabilities, Total",,,,,,,4388.0,4073.0,3665.0,3512.0,Balance Sheet
Total Liabilities,,,,,,,120912.0,122683.0,144948.0,144626.0,Balance Sheet
"Pref. Stock-Non Rdmbl, Net",,,,,,,3532.0,3532.0,3532.0,3532.0,Balance Sheet
Common Stock,,,,,,,43.0,43.0,43.0,43.0,Balance Sheet
Additional Paid-In Capital,,,,,,,231622.0,232317.0,233364.0,234532.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,,,,-29970.0,-26805.0,-21259.0,-15500.0,Balance Sheet
"Other Equity, Total",,,,,,,6302.0,6629.0,637.0,-5457.0,Balance Sheet
Total Equity,,,,,,,211529.0,215716.0,216317.0,217150.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,,,,332441.0,338399.0,361265.0,361776.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,,,,42886.0,42952.0,43060.0,43161.0,Balance Sheet
