,AZEK
% Above Low,0.22820000000000001
% Held by Institutions,1.0062
52-Wk Range,['15.12 - 46.56']
Annual Dividend $,
Annual Dividend %,
Ask,19.66
Ask Size,2000.0
B/A Ratio,0.05
B/A Size,100x2000
Beta,
Bid,12.5
Bid Size,100.0
Closing Price,18.57
Day Change $,-0.19
Day Change %,-0.0101
Day High,18.81
Day Low,18.54
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.76
Ex-dividend Date,No dividend
Historical Volatility,0.6409999999999999
Last (size),19.0
Last (time),5:00p ET 11/25/22
Market Cap,2.8B
"P/E Ratio (TTM, GAAP)",24.42
Prev Close,18.76
Short Interest,0.0364
Today's Open,18.72
Volume,344296.0
Volume 10-day Avg,1421517.0
Volume Past Day,(Light)
Next Earnings Announcement,2022-11-28 00:00:00
Growth Analysts,14.0
Growth 1yr Low Est,-0.04395604395604402
Growth 1yr High Est,0.030927835051546504
Growth 1yr Consensus Est,-0.006514104452248759
Growth 2yr Low Est,-0.30933434381710245
Growth 2yr High Est,0.0804639175257732
Growth 2yr Consensus Est,-0.11443521314566463
Growth 5yr Low Est,-0.30933434381710245
Growth 5yr High Est,0.0804639175257732
Growth 5yr Consensus Est,-0.11443521314566463
Growth 5yr Actual/Est,0.19631906580559888
Growth 3yr Historic,0.22033898305084745
Price/Earnings (TTM),24.42007
Price/Sales (TTM),2.02225
Price/Book (MRQ),1.92459
Price/Cash Flow (TTM),12.06823
5yr Low,15.12
5yr High,51.32
5yr Avg Return,0.00173333333333332
Short Int Current Month,5375654.0
Short Int Prev Month,5355138.0
Short Int Pct of Float,0.0364425
Days to Cover,3.1453
Float,147.5716
Shares Outstanding,152.1397
Institutions Holding Shares,309.0
FCF Growth 5yr,-1.2161784931618107
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",24.42
"PEG Ratio (TTM, GAAP)",4.79
Gross Profit Margin (TTM),0.32189999999999996
Operating Profit Margin (TTM),0.1257
Net Profit Margin (TTM),0.0849
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.2218
EPS Growth (TTM),13.0494
Revenue Growth (MRQ),-0.0032
Revenue Growth (TTM),0.2738
Return On Equity (TTM),0.08320000000000001
Return On Assets (TTM),0.053099999999999994
Return On Investment (TTM),0.0575
Revenue Per Employee (TTM),674264.0
Total Debt/Total Capital (MRQ),0.3085
Change in Debt/Total Capital Quarter over Quarter,0.0016
Quick Ratio (MRQ),1.39
Interest Coverage (MRQ),4.9
researchTeam,rating-box
ford,rating-box
cfra,
theStreet,rating-box
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2022-02-04 00:00:00
ford since,2021-01-15 00:00:00
cfra since,
theStreet since,2022-02-04 00:00:00
newConstructs since,
marketEdge opinion since,
