,B
Price/Earnings (TTM),79.53584
Price/Sales (TTM),1.6238
Price/Book (MRQ),1.61392
Price/Cash Flow (TTM),17.30839
5yr Low,27.93
5yr High,72.7
5yr Avg Return,-0.06763333333333332
EPS Growth 5yr,-0.046596599999999995
Revenue Growth 5yr,0.0045239
Dividend Growth 5yr,0.0464584
Short Int Current Month,962323.0
Short Int Prev Month,1181183.0
Short Int Pct of Float,0.0200678
Days to Cover,3.71578
Float,48.06954
Shares Outstanding,50.56884
Institutions Holding Shares,268.0
% Held by Institutions,0.8317289999999999
FCF Growth 5yr,-2.394548998045491
