,BAH
% Below High,0.0403
% Held by Institutions,0.9109999999999999
52-Wk Range,['69.68 - 112.55']
Annual Dividend $,1.72
Annual Dividend %,0.0159
Ask,108.38
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,0.7
Bid,97.57
Bid Size,200.0
Closing Price,108.01
Day Change $,1.9
Day Change %,0.0179
Day High,108.37
Day Low,106.12
Dividend Pay Date,2022-12-02 00:00:00
"EPS (TTM, GAAP)",3.94
Ex-dividend,2022-11-14 00:00:00
Ex-dividend Date,11/14/22
Historical Volatility,0.29
Last (size),28.0
Last (time),5:00p ET 11/25/22
Market Cap,14.3B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",27.41
Prev Close,106.11
Short Interest,0.0143
Today's Open,106.82
Volume,437860.0
Volume 10-day Avg,1176603.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-27 00:00:00
Growth Analysts,13.0
Growth 1yr Low Est,0.056097560975609806
Growth 1yr High Est,0.09048723897911848
Growth 1yr Consensus Est,0.07329239997736414
Growth 2yr Low Est,0.07539289134230842
Growth 2yr High Est,0.11971170459594227
Growth 2yr Consensus Est,0.09755229796912535
Growth 5yr Low Est,0.1133018248979984
Growth 5yr High Est,0.14097830127756295
Growth 5yr Consensus Est,0.12714006308778067
Growth 5yr Actual/Est,0.11762042975632725
Growth 3yr Historic,0.0764755684567005
Price/Earnings (TTM),27.40501
Price/Sales (TTM),1.61977
Price/Book (MRQ),11.74808
Price/Cash Flow (TTM),20.75628
5yr Low,35.21
5yr High,112.55
5yr Avg Return,0.20988333333333334
EPS Growth 5yr,0.148536
Revenue Growth 5yr,0.0756032
Dividend Growth 5yr,0.1995706
Short Int Current Month,1859660.0
Short Int Prev Month,1491351.0
Short Int Pct of Float,0.0143426
Days to Cover,1.32316
Float,129.9318
Shares Outstanding,132.2262
Institutions Holding Shares,780.0
FCF Growth 5yr,-1.6143963342593477
"Price/Earnings (TTM, GAAP)",27.41
"PEG Ratio (TTM, GAAP)",3.08
Gross Profit Margin (TTM),0.5326
Operating Profit Margin (TTM),0.0858
Net Profit Margin (TTM),0.0599
Annual Dividend Yield,0.0159
Dividend Change %,0.18460000000000001
"Dividend Growth Rate, 3 Years",0.244
EPS Growth (MRQ),0.2347
EPS Growth (TTM),-0.081
Revenue Growth (MRQ),0.0219
Revenue Growth (TTM),0.1051
Return On Equity (TTM),0.46380000000000005
Return On Assets (TTM),0.0864
Return On Investment (TTM),0.11380000000000001
Revenue Per Employee (TTM),300927.0
Total Debt/Total Capital (MRQ),0.6990999999999999
Change in Debt/Total Capital Quarter over Quarter,-0.0003
Quick Ratio (MRQ),
Interest Coverage (MRQ),8.46
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-11-11 00:00:00
cfra since,2021-01-29 00:00:00
ford since,2022-11-11 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2013-10-31 00:00:00
