,BAH
Price/Earnings (TTM),27.40501
Price/Sales (TTM),1.61977
Price/Book (MRQ),11.74808
Price/Cash Flow (TTM),20.75628
5yr Low,35.21
5yr High,112.55
5yr Avg Return,0.20988333333333334
EPS Growth 5yr,0.148536
Revenue Growth 5yr,0.0756032
Dividend Growth 5yr,0.1995706
Short Int Current Month,1859660.0
Short Int Prev Month,1491351.0
Short Int Pct of Float,0.0143426
Days to Cover,1.32316
Float,129.9318
Shares Outstanding,132.2262
Institutions Holding Shares,780.0
% Held by Institutions,0.911001
FCF Growth 5yr,-1.6143963342593477
