,BARK
% Above Low,0.264
% Held by Institutions,0.4164
52-Wk Range,['1.25 - 5.75']
Annual Dividend $,
Annual Dividend %,
Ask,1.63
Ask Size,200.0
B/A Ratio,13.0
B/A Size,2600x200
Beta,
Bid,1.58
Bid Size,2600.0
Closing Price,1.58
Day Change $,-0.03
Day Change %,-0.018600000000000002
Day High,1.65
Day Low,1.57
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.44
Ex-dividend Date,No dividend
Historical Volatility,0.883
Last (size),59.0
Last (time),5:00p ET 11/25/22
Market Cap,280.0M
"P/E Ratio (TTM, GAAP)",
Prev Close,1.61
Short Interest,0.045599999999999995
Today's Open,1.65
Volume,388734.0
Volume 10-day Avg,1321062.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-09 00:00:00
Growth Analysts,1.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.4375
Growth 2yr High Est,-0.46153846153846145
Growth 2yr Consensus Est,-0.4495192307692307
Growth 5yr Low Est,-0.4375
Growth 5yr High Est,-0.46153846153846145
Growth 5yr Consensus Est,-0.4495192307692307
Growth 5yr Actual/Est,-0.3869286287089013
Growth 3yr Historic,0.0
Price/Earnings (TTM),
Price/Sales (TTM),0.51419
Price/Book (MRQ),1.39836
Price/Cash Flow (TTM),
5yr Low,1.25
5yr High,19.54
5yr Avg Return,-0.4104333333333333
Short Int Current Month,5235512.0
Short Int Prev Month,5275965.0
Short Int Pct of Float,0.0455657
Days to Cover,4.41583
Float,122.9086
Shares Outstanding,177.2345
Institutions Holding Shares,136.0
FCF Growth 5yr,
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.5483
Operating Profit Margin (TTM),-0.16640000000000002
Net Profit Margin (TTM),-0.13949999999999999
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.31329999999999997
EPS Growth (TTM),-0.1956
Revenue Growth (MRQ),0.0966
Revenue Growth (TTM),0.19649999999999998
Return On Equity (TTM),-0.3348
Return On Assets (TTM),-0.17
Return On Investment (TTM),-0.2273
Revenue Per Employee (TTM),846970.0
Total Debt/Total Capital (MRQ),0.2766
Change in Debt/Total Capital Quarter over Quarter,0.0008
Quick Ratio (MRQ),1.76
Interest Coverage (MRQ),-6.87
researchTeam,rating-box
ford,rating-box
cfra,
theStreet,rating-box
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2022-08-16 00:00:00
ford since,2022-11-25 00:00:00
cfra since,
theStreet since,2022-08-16 00:00:00
newConstructs since,
marketEdge opinion since,
