,BARK
% Above Low,0.264
% Held by Institutions,0.4164
52-Wk Range,['1.25 - 5.75']
Annual Dividend $,
Annual Dividend %,
Ask,1.63
Ask Size,200.0
B/A Ratio,13.0
B/A Size,2600x200
Beta,
Bid,1.58
Bid Size,2600.0
Closing Price,1.58
Day Change $,-0.03
Day Change %,-0.018600000000000002
Day High,1.65
Day Low,1.57
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.44
Ex-dividend Date,No dividend
Historical Volatility,0.883
Last (size),59.0
Last (time),5:00p ET 11/25/22
Market Cap,280.0M
"P/E Ratio (TTM, GAAP)",
Prev Close,1.61
Shares Outstanding,177.2M
Short Interest,0.045599999999999995
Today's Open,1.65
Volume,388734.0
Volume 10-day Avg,1321062.0
Volume Past Day,(Light)
