,BAX
% Above Low,0.12380000000000001
% Held by Institutions,0.8773000000000001
52-Wk Range,['49.83 - 89.70']
Annual Dividend $,1.16
Annual Dividend %,0.0207
Ask,59.76
Ask Size,2400.0
B/A Ratio,0.041666666666666664
B/A Size,100x2400
Beta,0.6
Bid,49.5
Bid Size,100.0
Closing Price,56.0
Day Change $,-0.3
Day Change %,-0.0053
Day High,56.73
Day Low,55.7
Dividend Pay Date,2023-01-03 00:00:00
"EPS (TTM, GAAP)",-4.72
Ex-dividend,2022-12-01 00:00:00
Ex-dividend Date,12/01/22
Historical Volatility,0.297
Last (size),1300.0
Last (time),5:00p ET 11/25/22
Market Cap,28.2B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,56.3
Short Interest,0.0101
Today's Open,56.46
Volume,2125116.0
Volume 10-day Avg,4679209.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-09 00:00:00
Growth Analysts,17.0
Growth 1yr Low Est,-0.005617977528089901
Growth 1yr High Est,-0.021798365122615793
Growth 1yr Consensus Est,-0.013708171325352847
Growth 2yr Low Est,0.002840728750079402
Growth 2yr High Est,0.008599424681031975
Growth 2yr Consensus Est,0.005720076715555689
Growth 5yr Low Est,0.0214954854583648
Growth 5yr High Est,0.021939564397843753
Growth 5yr Consensus Est,0.021717524928104276
Growth 5yr Actual/Est,0.027586760893428125
Growth 3yr Historic,0.025454883211607437
Price/Earnings (TTM),
Price/Sales (TTM),1.91525
Price/Book (MRQ),5.09963
Price/Cash Flow (TTM),
5yr Low,49.83
5yr High,95.19
5yr Avg Return,-0.012533333333333339
EPS Growth 5yr,-0.2245223
Revenue Growth 5yr,0.0469573
Dividend Growth 5yr,0.165273
Short Int Current Month,5092907.0
Short Int Prev Month,6633754.0
Short Int Pct of Float,0.010125
Days to Cover,1.0875
Float,503.132
Shares Outstanding,504.1208
Institutions Holding Shares,1355.0
FCF Growth 5yr,0.4247110620816183
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.3638
Operating Profit Margin (TTM),-0.1315
Net Profit Margin (TTM),-0.1604
Annual Dividend Yield,0.0207
Dividend Change %,0.1361
"Dividend Growth Rate, 3 Years",0.1412
EPS Growth (MRQ),-12.747300000000001
EPS Growth (TTM),-2.9810000000000003
Revenue Growth (MRQ),0.0072
Revenue Growth (TTM),0.1838
Return On Equity (TTM),-0.3322
Return On Assets (TTM),-0.099
Return On Investment (TTM),-0.11660000000000001
Revenue Per Employee (TTM),245667.0
Total Debt/Total Capital (MRQ),0.7465
Change in Debt/Total Capital Quarter over Quarter,0.0095
Quick Ratio (MRQ),1.38
Interest Coverage (MRQ),3.03
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-10-28 00:00:00
cfra since,2015-07-29 00:00:00
ford since,2022-02-04 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2022-10-28 00:00:00
