,BBY
Price/Earnings (TTM),12.13168
Price/Sales (TTM),0.38156
Price/Book (MRQ),6.11005
Price/Cash Flow (TTM),7.44297
5yr Low,47.72
5yr High,141.97
5yr Avg Return,0.10064999999999999
EPS Growth 5yr,0.21344960000000002
Revenue Growth 5yr,0.0560748
Dividend Growth 5yr,0.19887090000000002
Short Int Current Month,6842018.0
Short Int Prev Month,7049435.0
Short Int Pct of Float,0.0340978
Days to Cover,2.79769
Float,200.8311
Shares Outstanding,225.1308
Institutions Holding Shares,1100.0
% Held by Institutions,0.7853530000000001
FCF Growth 5yr,-0.7391517846001547
