,BDC
Next Earnings Announcement,2023-02-08 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,0.2765957446808509
Growth 1yr High Est,0.33193277310924363
Growth 1yr Consensus Est,0.30426425889504727
Growth 2yr Low Est,0.15913120567375882
Growth 2yr High Est,0.21407364207512658
Growth 2yr Consensus Est,0.1866024238744427
Growth 5yr Low Est,0.18847739208902936
Growth 5yr High Est,0.18394665362921409
Growth 5yr Consensus Est,0.18621202285912172
Growth 5yr Actual/Est,0.17306089074163772
Growth 3yr Historic,0.086647224456959
