,BERY
Price/Earnings (TTM),9.82081
Price/Sales (TTM),0.48955
Price/Book (MRQ),2.22208
Price/Cash Flow (TTM),4.477
5yr Low,25.0
5yr High,74.73
5yr Avg Return,0.010216666666666666
EPS Growth 5yr,0.17603190000000002
Revenue Growth 5yr,0.1535945
Dividend Growth 5yr,
Short Int Current Month,1793368.0
Short Int Prev Month,1997240.0
Short Int Pct of Float,0.0144805
Days to Cover,1.78971
Float,123.8943
Shares Outstanding,124.1
Institutions Holding Shares,431.0
% Held by Institutions,0.955736
FCF Growth 5yr,-1.9267521423235638
