,BHIL
% Above Low,0.37770000000000004
% Held by Institutions,0.3475
52-Wk Range,['2.33 - 7.95']
Annual Dividend $,
Annual Dividend %,
Ask,3.45
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,
Bid,2.81
Bid Size,100.0
Closing Price,3.21
Day Change $,0.04
Day Change %,0.0126
Day High,3.24
Day Low,3.14
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.65
Ex-dividend Date,No dividend
Historical Volatility,0.948
Last (size),82.0
Last (time),5:00p ET 11/25/22
Market Cap,663.8M
"P/E Ratio (TTM, GAAP)",
Prev Close,3.17
Short Interest,0.0444
Today's Open,3.17
Volume,117964.0
Volume 10-day Avg,761864.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-27 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.07575757575757569
Growth 2yr High Est,0.03508771929824572
Growth 2yr Consensus Est,0.05542264752791071
Growth 5yr Low Est,0.07575757575757569
Growth 5yr High Est,0.03508771929824572
Growth 5yr Consensus Est,0.05542264752791071
Growth 5yr Actual/Est,-0.12587719298245614
Growth 3yr Historic,0.0
Price/Earnings (TTM),
Price/Sales (TTM),1.75754
Price/Book (MRQ),2.73712
Price/Cash Flow (TTM),
5yr Low,2.33
5yr High,12.25
5yr Avg Return,-0.4488
Short Int Current Month,5590302.0
Short Int Prev Month,6400341.0
Short Int Pct of Float,0.044388199999999996
Days to Cover,7.49647
Float,126.3429
Shares Outstanding,206.4635
Institutions Holding Shares,139.0
FCF Growth 5yr,-0.09956617961698266
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.0075
Operating Profit Margin (TTM),-0.3653
Net Profit Margin (TTM),-0.309
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.09150000000000001
EPS Growth (TTM),0.0037
Revenue Growth (MRQ),0.17550000000000002
Revenue Growth (TTM),1.9686000000000001
Return On Equity (TTM),-0.438
Return On Assets (TTM),-0.2432
Return On Investment (TTM),-0.2757
Revenue Per Employee (TTM),837976.0
Total Debt/Total Capital (MRQ),0.3118
Change in Debt/Total Capital Quarter over Quarter,0.0687
Quick Ratio (MRQ),3.86
Interest Coverage (MRQ),-4.48
ford,rating-box
cfra,
newConstructs,rating-box
theStreet,rating-box
researchTeam,rating-box
marketEdge opinion,
ford since,2022-07-01 00:00:00
cfra since,
newConstructs since,
theStreet since,
researchTeam since,
marketEdge opinion since,
