,BHLB
% Below High,0.016
% Held by Institutions,0.8264
52-Wk Range,['23.62 - 31.78']
Annual Dividend $,0.72
Annual Dividend %,0.023
Ask,31.5
Ask Size,
B/A Ratio,
B/A Size,--
Beta,1.0
Bid,
Bid Size,
Closing Price,31.27
Day Change $,0.43
Day Change %,0.0139
Day High,31.27
Day Low,30.94
Dividend Pay Date,2022-12-01 00:00:00
"EPS (TTM, GAAP)",1.76
Ex-dividend,2022-11-16 00:00:00
Ex-dividend Date,11/16/22
Historical Volatility,0.289
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,1.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",17.81
Prev Close,30.84
Shares Outstanding,45.0M
Short Interest,0.052300000000000006
Today's Open,30.94
Volume,91632.0
Volume 10-day Avg,235089.0
Volume Past Day,(Light)
