,BIG
% Above Low,0.2559
% Held by Institutions,1.0476
52-Wk Range,['15.16 - 50.87']
Annual Dividend $,1.2
Annual Dividend %,0.063
Ask,19.4
Ask Size,500.0
B/A Ratio,0.2
B/A Size,100x500
Beta,2.0
Bid,18.75
Bid Size,100.0
Closing Price,19.04
Day Change $,-0.78
Day Change %,-0.0394
Day High,19.77
Day Low,19.0
Dividend Pay Date,2022-09-23 00:00:00
"EPS (TTM, GAAP)",-1.8
Ex-dividend,2022-09-08 00:00:00
Ex-dividend Date,09/08/22
Historical Volatility,0.7120000000000001
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,550.8M
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,19.82
Shares Outstanding,28.9M
Short Interest,0.2788
Today's Open,19.77
Volume,449635.0
Volume 10-day Avg,904065.0
Volume Past Day,(Light)
