,BJ
Price/Earnings (TTM),20.41463
Price/Sales (TTM),0.52717
Price/Book (MRQ),10.47915
Price/Cash Flow (TTM),14.39144
5yr Low,18.84
5yr High,80.41
5yr Avg Return,0.32004000000000005
EPS Growth 5yr,0.5426127000000001
Revenue Growth 5yr,0.0617833
Dividend Growth 5yr,
Short Int Current Month,3029177.0
Short Int Prev Month,4388986.0
Short Int Pct of Float,0.0228174
Days to Cover,1.78024
Float,132.8955
Shares Outstanding,134.4343
Institutions Holding Shares,598.0
% Held by Institutions,0.950625
FCF Growth 5yr,-2.387342960764303
