,BL
Price/Earnings (TTM),
Price/Sales (TTM),7.56707
Price/Book (MRQ),48.38473
Price/Cash Flow (TTM),
5yr Low,31.53
5yr High,154.61
5yr Avg Return,0.22293333333333332
EPS Growth 5yr,
Revenue Growth 5yr,0.2716187
Dividend Growth 5yr,
Short Int Current Month,4097436.0
Short Int Prev Month,3981682.0
Short Int Pct of Float,0.0830517
Days to Cover,5.22524
Float,55.08454
Shares Outstanding,59.77687
Institutions Holding Shares,369.0
% Held by Institutions,0.9666800000000001
FCF Growth 5yr,-0.575491759702286
