,BLMN
Next Earnings Announcement,2023-02-17 00:00:00
Growth Analysts,12.0
Growth 1yr Low Est,-0.08627450980392148
Growth 1yr High Est,-0.052631578947368474
Growth 1yr Consensus Est,-0.06945304437564498
Growth 2yr Low Est,-0.06459648236977195
Growth 2yr High Est,0.055033416875522156
Growth 2yr Consensus Est,-0.004781532747124895
Growth 5yr Low Est,-1.3459663489334726
Growth 5yr High Est,-2.282231719235195
Growth 5yr Consensus Est,-1.8140990340843335
Growth 5yr Actual/Est,-1.5824184204969622
Growth 3yr Historic,-1.5902738565782046
