,BMRN
Price/Earnings (TTM),245.4852
Price/Sales (TTM),8.96897
Price/Book (MRQ),3.94222
Price/Cash Flow (TTM),98.21737
5yr Low,62.88
5yr High,131.95
5yr Avg Return,0.030966666666666663
EPS Growth 5yr,
Revenue Growth 5yr,0.1057578
Dividend Growth 5yr,
Short Int Current Month,9815606.0
Short Int Prev Month,11267840.0
Short Int Pct of Float,0.053205
Days to Cover,6.73639
Float,184.478
Shares Outstanding,185.8489
Institutions Holding Shares,816.0
% Held by Institutions,0.988865
FCF Growth 5yr,-1.4413853086284358
