,BNTX
Price/Earnings (TTM),3.65028
Price/Sales (TTM),1.94733
Price/Book (MRQ),1.96705
Price/Cash Flow (TTM),3.46209
5yr Low,12.53
5yr High,464.0
5yr Avg Return,0.990125
Short Int Current Month,1877038.0
Short Int Prev Month,2140285.0
Short Int Pct of Float,0.020879500000000002
Days to Cover,1.4826
Float,215.1131
Shares Outstanding,242.6854
Institutions Holding Shares,455.0
% Held by Institutions,0.16592300000000001
FCF Growth 5yr,1.9943339556994888
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
