,BOOT
Price/Earnings (TTM),10.44057
Price/Sales (TTM),1.19576
Price/Book (MRQ),2.81506
Price/Cash Flow (TTM),8.75962
5yr Low,8.03
5yr High,134.5
5yr Avg Return,0.5395499999999999
EPS Growth 5yr,0.6441857
Revenue Growth 5yr,0.1876618
Dividend Growth 5yr,
Short Int Current Month,2472433.0
Short Int Prev Month,2959546.0
Short Int Pct of Float,0.08342269999999999
Days to Cover,3.04498
Float,29.63864
Shares Outstanding,29.81148
Institutions Holding Shares,346.0
% Held by Institutions,1.060859
FCF Growth 5yr,-0.6640984909463178
