,BPMC
% Above Low,0.1008
% Held by Institutions,1.0485
52-Wk Range,['40.78 - 111.78']
Annual Dividend $,
Annual Dividend %,
Ask,45.17
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,0.6
Bid,44.61
Bid Size,100.0
Closing Price,44.89
Day Change $,0.06
Day Change %,0.0013
Day High,45.17
Day Low,44.15
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-12.1
Ex-dividend Date,No dividend
Historical Volatility,0.632
Last (size),5.0
Last (time),1:00p ET 11/25/22
Market Cap,2.7B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,44.83
Shares Outstanding,59.8M
Short Interest,0.07150000000000001
Today's Open,44.32
Volume,173508.0
Volume 10-day Avg,538513.0
Volume Past Day,(Light)
