,BRKR
Next Earnings Announcement,2023-02-09 00:00:00
Growth Analysts,11.0
Growth 1yr Low Est,0.106280193236715
Growth 1yr High Est,0.11848341232227488
Growth 1yr Consensus Est,0.11238180277949494
Growth 2yr Low Est,0.0771575638672658
Growth 2yr High Est,0.1206823841272392
Growth 2yr Consensus Est,0.0989199739972525
Growth 5yr Low Est,0.15149798925070604
Growth 5yr High Est,0.144583756727871
Growth 5yr Consensus Est,0.14804087298928853
Growth 5yr Actual/Est,0.15374881664690587
Growth 3yr Historic,0.10385704175513094
