,BRKR
Price/Earnings (TTM),37.66735
Price/Sales (TTM),4.03776
Price/Book (MRQ),10.81894
Price/Cash Flow (TTM),27.85744
5yr Low,26.1
5yr High,92.35
5yr Avg Return,0.16021666666666667
EPS Growth 5yr,0.1386175
Revenue Growth 5yr,0.08455700000000001
Dividend Growth 5yr,0.0
Short Int Current Month,2882021.0
Short Int Prev Month,3077257.0
Short Int Pct of Float,0.0291696
Days to Cover,3.20013
Float,98.86673
Shares Outstanding,147.0827
Institutions Holding Shares,386.0
% Held by Institutions,0.7196349999999999
FCF Growth 5yr,-1.707376283846872
