,2017,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,26.21,31.55,40.4,48.69,70.75,74.0,,,,,
low,25.12,24.34,26.23,30.7,42.72,52.91,,,,,
change,0.020800000000000003,0.0672,0.452,0.1966,0.4796,-0.1582,,,,,
Date,,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash & Equivalents,,,,,,,887.0,1695.0,2384.0,580.0,Balance Sheet
Short Term Investments,,,,,,,13.0,18.0,15.0,11.0,Balance Sheet
Cash and Short Term Invs,,,,,,,900.0,1712.0,2398.0,591.0,Balance Sheet
"Trade Accts Recvble, Net",,,,,,,1216.0,614.0,601.0,625.0,Balance Sheet
Other Receivables,,,,,,,63.0,745.0,819.0,1745.0,Balance Sheet
"Total Receivables, Net",,,,,,,1279.0,1358.0,1420.0,2370.0,Balance Sheet
Prepaid Expenses,,,,,,,392.0,362.0,385.0,410.0,Balance Sheet
Restricted Cash - Current,,,,,,,583.0,732.0,904.0,1271.0,Balance Sheet
Other Current Assets,,,,,,,176.0,145.0,223.0,209.0,Balance Sheet
"Other Curr. Assets, Total",,,,,,,759.0,876.0,1127.0,1480.0,Balance Sheet
Total Current Assets,,,,,,,3330.0,4309.0,5330.0,4851.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,,,409.0,419.0,418.0,454.0,Balance Sheet
"Goodwill, Net",,,,,,,4737.0,5141.0,5149.0,6522.0,Balance Sheet
Intangibles - Gross,,,,,,,2349.0,2470.0,2478.0,2962.0,Balance Sheet
Accum. Intangible Amort.,,,,,,,-1268.0,-1299.0,-1332.0,-1374.0,Balance Sheet
Intangibles - Net,,,,,,,1081.0,1171.0,1146.0,1588.0,Balance Sheet
Long Term Investments,,,,,,,31.0,25.0,24.0,24.0,Balance Sheet
Other Long Term Assets,,,,,,,207.0,208.0,213.0,220.0,Balance Sheet
Total Assets,,,,,,,9795.0,11273.0,12280.0,13658.0,Balance Sheet
Accounts Payable,,,,,,,1591.0,231.0,279.0,276.0,Balance Sheet
Accrued Expenses,,,,,,,456.0,269.0,361.0,380.0,Balance Sheet
Notes Payable/ST Debt,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,,,,43.0,43.0,68.0,68.0,Balance Sheet
Customer Advances,,,,,,,515.0,420.0,468.0,487.0,Balance Sheet
Other Payables,,,,,,,,1438.0,1689.0,1995.0,Balance Sheet
Other Current Liabilities,,,,,,,63.0,38.0,35.0,1034.0,Balance Sheet
"Other Curr. Lblts, Total",,,,,,,578.0,1896.0,2192.0,3515.0,Balance Sheet
Total Current Liabilities,,,,,,,2667.0,2439.0,2900.0,4239.0,Balance Sheet
Total Long Term Debt,,,,,,,1980.0,3497.0,4156.0,4040.0,Balance Sheet
Total Debt,,,,,,,2023.0,3540.0,4224.0,4108.0,Balance Sheet
Deferred Income Tax,,,,,,,387.0,432.0,443.0,572.0,Balance Sheet
"Other Liabilities, Total",,,,,,,564.0,570.0,497.0,496.0,Balance Sheet
Total Liabilities,,,,,,,5599.0,6938.0,7997.0,9348.0,Balance Sheet
Common Stock,,,,,,,30.0,30.0,30.0,30.0,Balance Sheet
Additional Paid-In Capital,,,,,,,849.0,824.0,836.0,903.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,,,,4001.0,4192.0,4308.0,4440.0,Balance Sheet
Treasury Stock - Common,,,,,,,-674.0,-698.0,-748.0,-748.0,Balance Sheet
"Other Equity, Total",,,,,,,-9.0,-12.0,-143.0,-316.0,Balance Sheet
Total Equity,,,,,,,4197.0,4335.0,4283.0,4311.0,Balance Sheet
