,BRP
% Below High,0.2339
% Held by Institutions,0.9267
52-Wk Range,['17.08 - 38.99']
Annual Dividend $,
Annual Dividend %,
Ask,33.0
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,
Bid,24.0
Bid Size,200.0
Closing Price,29.87
Day Change $,0.44
Day Change %,0.015
Day High,30.21
Day Low,29.64
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.31
Ex-dividend Date,No dividend
Historical Volatility,0.65
Last (size),28.0
Last (time),12:59p ET 11/25/22
Market Cap,1.8B
"P/E Ratio (TTM, GAAP)",
Prev Close,29.43
Short Interest,0.0384
Today's Open,29.82
Volume,84794.0
Volume 10-day Avg,323789.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-01 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,0.3513513513513513
Growth 1yr High Est,0.2749999999999999
Growth 1yr Consensus Est,0.3131756756756756
Growth 2yr Low Est,0.2406756756756756
Growth 2yr High Est,0.3237745098039214
Growth 2yr Consensus Est,0.2822250927397985
Growth 5yr Low Est,0.4595957495957495
Growth 5yr High Est,0.46222648479681716
Growth 5yr Consensus Est,0.46091111719628336
Growth 5yr Actual/Est,-0.1495902715271527
Growth 3yr Historic,-0.2746212121212121
Price/Earnings (TTM),
Price/Sales (TTM),3.87726
Price/Book (MRQ),5.30939
Price/Cash Flow (TTM),70.36985
5yr Low,8.35
5yr High,45.36
5yr Avg Return,0.203675
Short Int Current Month,2093966.0
Short Int Prev Month,2380775.0
Short Int Pct of Float,0.0384469
Days to Cover,5.47708
Float,54.47811
Shares Outstanding,116.029
Institutions Holding Shares,205.0
FCF Growth 5yr,0.7854522454142948
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.2795
Operating Profit Margin (TTM),-0.0029
Net Profit Margin (TTM),-0.0332
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-3.998
EPS Growth (TTM),-0.1258
Revenue Growth (MRQ),0.1158
Revenue Growth (TTM),0.8711
Return On Equity (TTM),-0.026000000000000002
Return On Assets (TTM),-0.0105
Return On Investment (TTM),-0.0166
Revenue Per Employee (TTM),330209.0
Total Debt/Total Capital (MRQ),0.5238
Change in Debt/Total Capital Quarter over Quarter,0.0046
Quick Ratio (MRQ),
Interest Coverage (MRQ),-1.43
researchTeam,rating-box
ford,rating-box
cfra,
theStreet,rating-box
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2022-01-20 00:00:00
ford since,2022-05-20 00:00:00
cfra since,
theStreet since,2022-01-20 00:00:00
newConstructs since,
marketEdge opinion since,
