,2017,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,17.22,18.62,14.87,19.78,31.17,26.48,,,,,
low,15.84,10.04,8.4,3.61,17.86,14.73,,,,,
change,0.042300000000000004,-0.3658,-0.0276,0.9673,0.3135,-0.23149999999999998,,,,,
Date,,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash and Short Term Invs,,,,,,,252.0,89.0,92.0,101.0,Balance Sheet
"Total Receivables, Net",,,,,,,172.0,121.0,114.0,107.0,Balance Sheet
Total Current Assets,,,,,,,,,,,Balance Sheet
Prop./Plant/Equip. - Net,,,,,,,115.0,112.0,111.0,109.0,Balance Sheet
"Goodwill, Net",,,,,,,20.0,20.0,20.0,20.0,Balance Sheet
Long Term Investments,,,,,,,55.0,53.0,49.0,46.0,Balance Sheet
Def. Inc. Tax - LT Asset,,,,,,,72.0,71.0,65.0,63.0,Balance Sheet
Disct. Ops. - LT Asset,,,,,,,0.0,,,,Balance Sheet
Other Assets,,,,,,,28.0,28.0,27.0,28.0,Balance Sheet
"Other Assets, Total",,,,,,,28.0,28.0,27.0,28.0,Balance Sheet
Total Assets,,,,,,,715.0,494.0,478.0,475.0,Balance Sheet
Payable/Accrued,,,,,,,35.0,21.0,24.0,23.0,Balance Sheet
Accrued Expenses,,,,,,,195.0,105.0,123.0,140.0,Balance Sheet
Notes Payable/ST Debt,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
"Other Curr. Lblts, Total",,,,,,,1.0,9.0,3.0,3.0,Balance Sheet
Total Current Liabilities,,,,,,,,,,,Balance Sheet
Total Long Term Debt,,,,,,,395.0,361.0,323.0,302.0,Balance Sheet
Total Debt,,,,,,,395.0,361.0,323.0,302.0,Balance Sheet
Minority Interest,,,,,,,0.0,0.0,0.0,,Balance Sheet
Discont. Ops. - Lblts,,,,,,,0.0,,,,Balance Sheet
Other Liabilities,,,,,,,106.0,96.0,76.0,62.0,Balance Sheet
"Other Liabilities, Total",,,,,,,106.0,96.0,76.0,62.0,Balance Sheet
Total Liabilities,,,,,,,732.0,592.0,549.0,530.0,Balance Sheet
Common Stock,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Additional Paid-In Capital,,,,,,,0.0,0.0,1.0,1.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,,,,-7.0,-88.0,-60.0,-42.0,Balance Sheet
Cum. Trans. Adjustment,,,,,,,5.0,4.0,2.0,-1.0,Balance Sheet
Other Equity,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Other Comprehensive Income,,,,,,,-16.0,-14.0,-13.0,-13.0,Balance Sheet
"Other Equity, Total",,,,,,,-11.0,-10.0,-12.0,-14.0,Balance Sheet
Total Equity,,,,,,,-17.0,-98.0,-71.0,-55.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,,,,715.0,494.0,478.0,475.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,,,,80.0,41.0,41.0,41.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,,,,,162900.0,112200.0,95500.0,86800.0,Income Statement
Selling/Gen/Admin Expense,,,,,,,17600.0,16900.0,16500.0,17500.0,Income Statement
Labor & Related Expense,,,,,,,91400.0,46800.0,27000.0,34900.0,Income Statement
