,BTAI
Next Earnings Announcement,2023-03-09 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,0.09288537549407128
Growth 1yr High Est,0.3084832904884318
Growth 1yr Consensus Est,0.20068433299125155
Growth 2yr Low Est,0.12510453223166496
Growth 2yr High Est,0.0009999949495204108
Growth 2yr Consensus Est,0.06305226359059268
Growth 5yr Low Est,0.1706848169989986
Growth 5yr High Est,0.04317874059436629
Growth 5yr Consensus Est,0.10693177879668243
Growth 5yr Actual/Est,0.31676018450397775
Growth 3yr Historic,0.2362098017189581
