,BTU
% Below High,0.0928
% Held by Institutions,0.8573999999999999
52-Wk Range,['8.58 - 33.29']
Annual Dividend $,
Annual Dividend %,
Ask,30.19
Ask Size,3000.0
B/A Ratio,0.3333333333333333
B/A Size,1000x3000
Beta,1.0
Bid,29.01
Bid Size,1000.0
Closing Price,30.2
Day Change $,0.42
Day Change %,0.0141
Day High,31.0
Day Low,29.5
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",7.8
Ex-dividend Date,No dividend
Historical Volatility,0.8890000000000001
Last (size),10.0
Last (time),5:00p ET 11/25/22
Market Cap,4.3B
"P/E Ratio (TTM, GAAP)",3.87
Prev Close,29.78
Short Interest,0.126
Today's Open,29.5
Volume,2100787.0
Volume 10-day Avg,4206991.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-09 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,-1.3043246129204484
Growth 1yr High Est,-1.3687396807925152
Growth 1yr Consensus Est,-1.3365321468564817
Growth 2yr Low Est,-0.806548271372505
Growth 2yr High Est,-0.7015340195007352
Growth 2yr Consensus Est,-0.75404114543662
Growth 5yr Low Est,-0.53769884758167
Growth 5yr High Est,-0.4676893463338235
Growth 5yr Consensus Est,-0.5026940969577467
Growth 5yr Actual/Est,-11.210701087364129
Growth 3yr Historic,-11.417058516196446
Price/Earnings (TTM),3.8706
Price/Sales (TTM),0.94056
Price/Book (MRQ),1.66428
Price/Cash Flow (TTM),2.90416
5yr Low,0.8
5yr High,47.84
5yr Avg Return,0.5903833333333334
EPS Growth 5yr,
Revenue Growth 5yr,-0.0678597
Dividend Growth 5yr,
Short Int Current Month,17938667.0
Short Int Prev Month,17914661.0
Short Int Pct of Float,0.12597
Days to Cover,2.46335
Float,142.4236
Shares Outstanding,143.9
Institutions Holding Shares,298.0
FCF Growth 5yr,-3.8313192439608166
"Price/Earnings (TTM, GAAP)",3.87
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.335
Operating Profit Margin (TTM),0.2787
Net Profit Margin (TTM),0.25620000000000004
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.0836
EPS Growth (TTM),3.6955
Revenue Growth (MRQ),0.015600000000000001
Revenue Growth (TTM),0.6555
Return On Equity (TTM),0.6548
Return On Assets (TTM),0.2398
Return On Investment (TTM),0.3105
Revenue Per Employee (TTM),942939.0
Total Debt/Total Capital (MRQ),0.2462
Change in Debt/Total Capital Quarter over Quarter,-0.0046
Quick Ratio (MRQ),1.58
Interest Coverage (MRQ),279.07
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
theStreet,rating-box
marketEdge opinion,
researchTeam since,2022-02-11 00:00:00
ford since,2022-11-04 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
theStreet since,2022-02-11 00:00:00
marketEdge opinion since,
